Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
17.0,Sat,2021-12-11,20:30,St. Gallen,1–1,Lugano,9800.0,Kybunpark,Stefan Horisberger,Match Report,
17.0,Sun,2021-12-12,14:15,Young Boys,4–3,Sion,24068.0,Wankdorfstadion,Adrien Jaccottet,Match Report,
17.0,Sun,2021-12-12,16:30,Servette FC,2–2,Basel,7021.0,Stade de Genève,Sandro Schärer,Match Report,
17.0,Sun,2021-12-12,16:30,Grasshopper,1–1,Luzern,4375.0,Stadion Letzigrund,Luca Piccolo,Match Report,
,,,,,,,,,,,
14.0,Wed,2021-12-15,20:30,Young Boys,1–1,Basel,20912.0,Wankdorfstadion,Fedayi San,Match Report,
,,,,,,,,,,,
18.0,Sat,2021-12-18,18:00,Zürich,3–1,St. Gallen,11571.0,Stadion Letzigrund,Alessandro Dudic,Match Report,
18.0,Sat,2021-12-18,20:30,Luzern,0–2,Servette FC,8071.0,swissporarena,Fedayi San,Match Report,
18.0,Sun,2021-12-19,14:15,Lugano,0–5,Young Boys,3500.0,Stadio di Cornaredo,Luca Cibelli,Match Report,
18.0,Sun,2021-12-19,16:30,Basel,2–2,Grasshopper,21422.0,St. Jakob-Park,Alain Bieri,Match Report,
18.0,Sun,2021-12-19,16:30,Sion,2–0,Lausanne-Sport,7200.0,Stade de Tourbillon,Urs Schnyder,Match Report,
,,,,,,,,,,,
19.0,Sat,2022-01-29,18:00,Zürich,1–0,Servette FC,11007.0,Stadion Letzigrund,Fedayi San,Match Report,
19.0,Sat,2022-01-29,20:30,Young Boys,1–0,Lugano,22247.0,Wankdorfstadion,Sandro Schärer,Match Report,
19.0,Sun,2022-01-30,14:15,Lausanne-Sport,1–5,St. Gallen,3740.0,Stade de la Tuilière,Luca Cibelli,Match Report,
19.0,Sun,2022-01-30,16:30,Sion,2–0,Grasshopper,5800.0,Stade de Tourbillon,Alain Bieri,Match Report,
19.0,Sun,2022-01-30,16:30,Luzern,0–3,Basel,10779.0,swissporarena,Lukas Fähndrich,Match Report,
,,,,,,,,,,,
20.0,Sat,2022-02-05,18:00,Servette FC,1–0,Lausanne-Sport,11023.0,Stade de Genève,Stefan Horisberger,Match Report,
20.0,Sat,2022-02-05,20:30,Grasshopper,1–3,Zürich,16112.0,Stadion Letzigrund,Sandro Schärer,Match Report,
20.0,Sun,2022-02-06,14:15,Basel,3–3,Sion,19509.0,St. Jakob-Park,Luca Piccolo,Match Report,
20.0,Sun,2022-02-06,16:30,Lugano,2–1,Luzern,2959.0,Stadio di Cornaredo,Alessandro Dudic,Match Report,
20.0,Sun,2022-02-06,16:30,St. Gallen,3–3,Young Boys,16305.0,Kybunpark,Fedayi San,Match Report,
,,,,,,,,,,,
21.0,Sat,2022-02-12,18:00,Lausanne-Sport,0–2,Grasshopper,3205.0,Stade de la Tuilière,Sven Wolfensberger,Match Report,
21.0,Sat,2022-02-12,20:30,St. Gallen,5–1,Servette FC,12960.0,Kybunpark,Sandro Schärer,Match Report,
21.0,Sun,2022-02-13,14:15,Young Boys,3–1,Basel,31120.0,Wankdorfstadion,Urs Schnyder,Match Report,
21.0,Sun,2022-02-13,16:30,Zürich,3–0,Lugano,11069.0,Stadion Letzigrund,Luca Cibelli,Match Report,
21.0,Sun,2022-02-13,16:30,Luzern,1–0,Sion,8973.0,swissporarena,Alain Bieri,Match Report,
,,,,,,,,,,,
22.0,Sat,2022-02-19,18:00,Lugano,0–2,St. Gallen,3300.0,Stadio di Cornaredo,Stefan Horisberger,Match Report,
22.0,Sat,2022-02-19,20:30,Basel,3–0,Lausanne-Sport,20285.0,St. Jakob-Park,Alessandro Dudic,Match Report,
22.0,Sun,2022-02-20,14:15,Sion,1–1,Zürich,9500.0,Stade de Tourbillon,Sandro Schärer,Match Report,
22.0,Sun,2022-02-20,16:30,Servette FC,1–1,Luzern,6297.0,Stade de Genève,Urs Schnyder,Match Report,
22.0,Sun,2022-02-20,16:30,Grasshopper,2–2,Young Boys,6273.0,Stadion Letzigrund,Luca Piccolo,Match Report,
,,,,,,,,,,,
23.0,Sat,2022-02-26,18:00,Young Boys,3–1,Sion,24301.0,Wankdorfstadion,Alain Bieri,Match Report,
23.0,Sat,2022-02-26,20:30,Lugano,2–0,Servette FC,2098.0,Stadio di Cornaredo,Esther Staubli,Match Report,
23.0,Sun,2022-02-27,14:15,St. Gallen,2–0,Grasshopper,18861.0,Kybunpark,Stefan Horisberger,Match Report,
23.0,Sun,2022-02-27,16:30,Zürich,4–2,Basel,21185.0,Stadion Letzigrund,Lukas Fähndrich,Match Report,
23.0,Sun,2022-02-27,16:30,Lausanne-Sport,1–2,Luzern,6256.0,Stade de la Tuilière,Fedayi San,Match Report,
,,,,,,,,,,,
24.0,Tue,2022-03-01,20:30,Servette FC,1–0,Young Boys,,Stade de Genève,Urs Schnyder,Match Report,
24.0,Wed,2022-03-02,18:00,Sion,1–0,Lausanne-Sport,6500.0,Stade de Tourbillon,Luca Piccolo,Match Report,
24.0,Wed,2022-03-02,20:30,Luzern,0–2,Zürich,9708.0,swissporarena,Sandro Schärer,Match Report,
24.0,Thu,2022-03-03,20:30,Basel,2–2,St. Gallen,,St. Jakob-Park,Fedayi San,Match Report,
24.0,Thu,2022-03-03,20:30,Grasshopper,1–2,Lugano,,Stadion Letzigrund,Sven Wolfensberger,Match Report,
,,,,,,,,,,,
25.0,Sat,2022-03-05,18:00,Young Boys,2–2,Luzern,24445.0,Wankdorfstadion,Lukas Fähndrich,Match Report,
25.0,Sat,2022-03-05,20:30,Lausanne-Sport,0–2,Zürich,2742.0,Stade de la Tuilière,Alain Bieri,Match Report,
25.0,Sun,2022-03-06,14:15,Lugano,0–2,Basel,3287.0,Stadio di Cornaredo,Stefan Horisberger,Match Report,
25.0,Sun,2022-03-06,16:30,St. Gallen,1–1,Sion,15605.0,Kybunpark,Urs Schnyder,Match Report,
25.0,Sun,2022-03-06,16:30,Grasshopper,2–4,Servette FC,3885.0,Stadion Letzigrund,Fedayi San,Match Report,
,,,,,,,,,,,
26.0,Sat,2022-03-12,18:00,Zürich,0–3,St. Gallen,,Stadion Letzigrund,Stefan Horisberger,Match Report,
26.0,Sat,2022-03-12,20:30,Sion,0–3,Lugano,5800.0,Stade de Tourbillon,Sven Wolfensberger,Match Report,
26.0,Sun,2022-03-13,14:15,Lausanne-Sport,2–2,Young Boys,4150.0,Stade de la Tuilière,Esther Staubli,Match Report,
26.0,Sun,2022-03-13,16:30,Basel,2–0,Servette FC,19041.0,St. Jakob-Park,Alain Bieri,Match Report,
26.0,Sun,2022-03-13,16:30,Luzern,1–0,Grasshopper,11711.0,swissporarena,Luca Piccolo,Match Report,
,,,,,,,,,,,
27.0,Sat,2022-03-19,18:00,St. Gallen,3–2,Luzern,17848.0,Kybunpark,Luca Cibelli,Match Report,
27.0,Sat,2022-03-19,20:30,Young Boys,1–2,Zürich,,Wankdorfstadion,Fedayi San,Match Report,
27.0,Sun,2022-03-20,14:15,Servette FC,2–1,Sion,9851.0,Stade de Genève,Stefan Horisberger,Match Report,
27.0,Sun,2022-03-20,16:30,Grasshopper,2–4,Basel,5894.0,Stadion Letzigrund,Urs Schnyder,Match Report,
27.0,Sun,2022-03-20,16:30,Lugano,3–1,Lausanne-Sport,2225.0,Stadio di Cornaredo,Sandro Schärer,Match Report,
,,,,,,,,,,,
28.0,Sat,2022-04-02,17:30,Zürich,1–1,Grasshopper,15327.0,Stadion Letzigrund,Sandro Schärer,Match Report,
28.0,Sat,2022-04-02,20:30,Sion,0–3,St. Gallen,4800.0,Stade de Tourbillon,Sven Wolfensberger,Match Report,
28.0,Sun,2022-04-03,14:15,Luzern,2–2,Lugano,15113.0,swissporarena,Stefan Horisberger,Match Report,
28.0,Sun,2022-04-03,16:30,Basel,2–2,Young Boys,25760.0,St. Jakob-Park,Fedayi San,Match Report,
28.0,Sun,2022-04-03,16:30,Lausanne-Sport,4–1,Servette FC,6045.0,Stade de la Tuilière,Luca Cibelli,Match Report,
,,,,,,,,,,,
29.0,Sat,2022-04-09,18:00,Young Boys,2–2,Lausanne-Sport,27406.0,Wankdorfstadion,Alain Bieri,Match Report,
29.0,Sat,2022-04-09,20:30,Grasshopper,2–2,Luzern,5049.0,Stadion Letzigrund,Fedayi San,Match Report,
29.0,Sun,2022-04-10,14:15,Servette FC,1–0,Zürich,,Stade de Genève,Stefan Horisberger,Match Report,
29.0,Sun,2022-04-10,16:30,Lugano,1–3,Sion,3018.0,Stadio di Cornaredo,Luca Cibelli,Match Report,
29.0,Sun,2022-04-10,16:30,St. Gallen,2–2,Basel,18861.0,Kybunpark,Urs Schnyder,Match Report,
,,,,,,,,,,,
30.0,Sat,2022-04-16,17:30,Zürich,2–1,Young Boys,17663.0,Stadion Letzigrund,Urs Schnyder,Match Report,
30.0,Sat,2022-04-16,20:30,Servette FC,0–1,Grasshopper,5012.0,Stade de Genève,Lukas Fähndrich,Match Report,
30.0,Mon,2022-04-18,14:15,Luzern,3–2,St. Gallen,13491.0,swissporarena,Sandro Schärer,Match Report,
30.0,Mon,2022-04-18,16:30,Sion,0–0,Basel,9800.0,Stade de Tourbillon,Stefan Horisberger,Match Report,
30.0,Mon,2022-04-18,16:30,Lausanne-Sport,4–1,Lugano,3450.0,Stade de la Tuilière,Sven Wolfensberger,Match Report,
,,,,,,,,,,,
31.0,Sat,2022-04-23,17:30,Zürich,,Sion,,Stadion Letzigrund,,Head-to-Head,
31.0,Sat,2022-04-23,20:30,Young Boys,,Servette FC,,Wankdorfstadion,,Head-to-Head,
31.0,Sun,2022-04-24,14:15,St. Gallen,,Lugano,,Kybunpark,,Head-to-Head,
31.0,Sun,2022-04-24,16:30,Basel,,Luzern,,St. Jakob-Park,,Head-to-Head,
31.0,Sun,2022-04-24,16:30,Grasshopper,,Lausanne-Sport,,Stadion Letzigrund,,Head-to-Head,
,,,,,,,,,,,
32.0,Sat,2022-04-30,18:00,Lugano,,Grasshopper,,Stadio di Cornaredo,,Head-to-Head,
32.0,Sat,2022-04-30,20:30,Servette FC,,St. Gallen,,Stade de Genève,,Head-to-Head,
32.0,Sun,2022-05-01,14:15,Sion,,Young Boys,,Stade de Tourbillon,,Head-to-Head,
32.0,Sun,2022-05-01,16:30,Luzern,,Lausanne-Sport,,swissporarena,,Head-to-Head,
32.0,Sun,2022-05-01,16:30,Basel,,Zürich,,St. Jakob-Park,,Head-to-Head,
,,,,,,,,,,,
33.0,Sat,2022-05-07,18:00,Lugano,,Young Boys,,Stadio di Cornaredo,,Head-to-Head,
33.0,Sat,2022-05-07,20:30,St. Gallen,,Zürich,,Kybunpark,,Head-to-Head,
33.0,Sun,2022-05-08,14:15,Grasshopper,,Sion,,Stadion Letzigrund,,Head-to-Head,
33.0,Sun,2022-05-08,16:30,Luzern,,Servette FC,,swissporarena,,Head-to-Head,
33.0,Sun,2022-05-08,16:30,Lausanne-Sport,,Basel,,Stade de la Tuilière,,Head-to-Head,
,,,,,,,,,,,
34.0,Tue,2022-05-10,20:30,Young Boys,,St. Gallen,,Wankdorfstadion,,Head-to-Head,
34.0,Wed,2022-05-11,18:00,Sion,,Luzern,,Stade de Tourbillon,,Head-to-Head,
34.0,Wed,2022-05-11,20:30,Servette FC,,Lugano,,Stade de Genève,,Head-to-Head,
34.0,Thu,2022-05-12,20:30,Basel,,Grasshopper,,St. Jakob-Park,,Head-to-Head,
34.0,Thu,2022-05-12,20:30,Zürich,,Lausanne-Sport,,Stadion Letzigrund,,Head-to-Head,
,,,,,,,,,,,
35.0,Thu,2022-05-19,20:30,Lausanne-Sport,,Sion,,Stade de la Tuilière,,Head-to-Head,
35.0,Thu,2022-05-19,20:30,Luzern,,Young Boys,,swissporarena,,Head-to-Head,
35.0,Thu,2022-05-19,20:30,Lugano,,Zürich,,Stadio di Cornaredo,,Head-to-Head,
35.0,Thu,2022-05-19,20:30,Grasshopper,,St. Gallen,,Stadion Letzigrund,,Head-to-Head,
35.0,Thu,2022-05-19,20:30,Servette FC,,Basel,,Stade de Genève,,Head-to-Head,
,,,,,,,,,,,
36.0,Sun,2022-05-22,16:30,Basel,,Lugano,,St. Jakob-Park,,Head-to-Head,
36.0,Sun,2022-05-22,16:30,Zürich,,Luzern,,Stadion Letzigrund,,Head-to-Head,
36.0,Sun,2022-05-22,16:30,St. Gallen,,Lausanne-Sport,,Kybunpark,,Head-to-Head,
36.0,Sun,2022-05-22,16:30,Young Boys,,Grasshopper,,Wankdorfstadion,,Head-to-Head,
36.0,Sun,2022-05-22,16:30,Sion,,Servette FC,,Stade de Tourbillon,,Head-to-Head,
