1_Player,2_Nation,3_Pos,4_Squad,5_Comp,6_Age,7_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,33_Matches
Ola Aina,ng NGA,DF,Torino,it Serie A,25-158,1996,16,13,1066,11.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.3,1.5,0.02,0.11,0.13,0.02,0.13,Matches
Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,20-282,2001,16,14,1283,14.3,0,2,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,0.4,0.4,1.2,1.6,0.03,0.08,0.11,0.03,0.11,Matches
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23-332,1998,16,15,1340,14.9,0,2,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,0.8,1.0,0.01,0.05,0.07,0.01,0.07,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,28-018,1994,26,24,2086,23.2,10,7,8,2,2,4,1,0.43,0.30,0.73,0.35,0.65,8.9,7.4,3.6,11.0,0.38,0.15,0.54,0.32,0.47,Matches
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26-239,1995,18,17,1567,17.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.4,0.07,0.01,0.08,0.07,0.08,Matches
Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,29-003,1993,16,13,1178,13.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.02,0.02,0.04,0.02,0.04,Matches
Marley Aké,fr FRA,FW,Juventus,it Serie A,21-069,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27-025,1995,9,7,671,7.5,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.7,0.7,0.5,1.2,0.10,0.07,0.16,0.10,0.16,Matches
Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17-333,2004,2,2,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34,Matches
Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20-018,2002,6,0,47,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.35,0.11,0.46,0.35,0.46,Matches
Paul Akouokou,ci CIV,MF,Betis,es La Liga,24-085,1997,6,4,337,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
