1_Player,2_Nation,3_Pos,4_Squad,5_Comp,6_Age,7_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,33_Matches
Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,25-175,1996,21,14,1306,14.5,2,0,2,0,0,0,0,0.14,0.00,0.14,0.14,0.14,0.8,0.8,0.0,0.8,0.05,0.00,0.06,0.05,0.06,Matches
Habib Keita,ml MLI,"MF,FW",Lyon,fr Ligue 1,20-038,2002,3,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,2.80,0.00,2.80,2.80,2.80,Matches
Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,27-033,1995,15,10,830,9.2,2,1,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,1.2,1.2,1.1,2.4,0.13,0.12,0.26,0.13,0.26,Matches
Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,22-028,2000,12,5,504,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.14,0.01,0.15,0.14,0.15,Matches
Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,23-112,1998,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,27-046,1995,4,4,331,3.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Matches
Marc-Oliver Kempf,de GER,DF,Stuttgart,de Bundesliga,27-046,1995,12,10,840,9.3,3,0,3,0,0,2,0,0.32,0.00,0.32,0.32,0.32,1.0,1.0,0.5,1.6,0.11,0.06,0.17,0.11,0.17,Matches
Jonjoe Kenny,eng ENG,DF,Everton,eng Premier League,25-000,1997,9,8,703,7.8,0,1,0,0,0,3,1,0.00,0.13,0.13,0.00,0.13,0.3,0.3,0.3,0.5,0.04,0.03,0.07,0.04,0.07,Matches
Dimitrios Keramitsis,,DF,Roma,it Serie A,17-257,2004,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Franck Kessié,ci CIV,MF,Milan,it Serie A,25-086,1996,22,17,1579,17.5,5,0,3,2,3,1,0,0.28,0.00,0.28,0.17,0.17,3.8,1.5,1.0,2.5,0.22,0.06,0.27,0.09,0.14,Matches
Saîf-Eddine Khaoui,tn TUN,MF,Clermont Foot,fr Ligue 1,26-322,1995,13,2,354,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1,0.22,0.06,0.28,0.22,0.28,Matches
Wahbi Khazri,tn TUN,"FW,MF",Saint-Étienne,fr Ligue 1,31-035,1991,24,21,1822,20.2,9,0,6,3,3,3,0,0.44,0.00,0.44,0.30,0.30,7.5,5.3,2.3,7.6,0.37,0.11,0.49,0.26,0.37,Matches
Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,28-047,1994,24,24,2045,22.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.3,1.1,0.04,0.01,0.05,0.04,0.05,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Kike,es ESP,FW,Osasuna,es La Liga,32-110,1989,26,17,1622,18.0,5,1,4,1,1,1,0,0.28,0.06,0.33,0.22,0.28,5.9,5.2,2.0,7.2,0.33,0.11,0.44,0.29,0.40,Matches
Luca Kilian,de GER,FW,Mainz 05,de Bundesliga,22-195,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Luca Kilian,de GER,DF,Köln,de Bundesliga,22-195,1999,22,17,1585,17.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Matches
Max Kilman,eng ENG,DF,Wolves,eng Premier League,24-296,1997,28,28,2507,27.9,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,1.0,1.0,0.0,1.0,0.03,0.00,0.04,0.03,0.04,Matches
Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,27-035,1995,20,20,1781,19.8,3,5,3,0,0,2,0,0.15,0.25,0.40,0.15,0.40,1.8,1.8,6.6,8.4,0.09,0.33,0.43,0.09,0.43,Matches
Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,26-214,1995,22,21,1868,20.8,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.1,0.8,0.03,0.00,0.04,0.03,0.04,Matches
Joshua King,no NOR,FW,Watford,eng Premier League,30-059,1992,26,24,1967,21.9,5,3,4,1,1,4,0,0.23,0.14,0.37,0.18,0.32,7.7,6.9,3.1,10.0,0.35,0.14,0.49,0.32,0.46,Matches
Jakub Kiwior,pl POL,MF,Spezia,it Serie A,22-028,2000,13,12,1154,12.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
Sofian Kiyine,ma MAR,"MF,FW",Venezia,it Serie A,24-164,1997,19,12,988,11.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.9,2.6,0.06,0.18,0.23,0.06,0.23,Matches
Simon Kjær,dk DEN,DF,Milan,it Serie A,32-354,1989,11,10,802,8.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,1.0,0.07,0.04,0.11,0.07,0.11,Matches
Philipp Klement,de GER,"MF,FW",Stuttgart,de Bundesliga,29-187,1992,6,3,338,3.8,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.3,0.3,0.9,1.2,0.08,0.25,0.32,0.08,0.32,Matches
Mateusz Klich,pl POL,MF,Leeds United,eng Premier League,31-275,1990,24,19,1606,17.8,1,2,1,0,0,4,0,0.06,0.11,0.17,0.06,0.17,2.3,2.3,2.0,4.4,0.13,0.11,0.24,0.13,0.24,Matches
Mateo Klimowicz,de GER,"FW,MF",Stuttgart,de Bundesliga,21-252,2000,15,7,603,6.7,0,1,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,0.9,0.9,0.5,1.4,0.13,0.07,0.21,0.13,0.21,Matches
Fabian Klos,de GER,FW,Arminia,de Bundesliga,34-103,1987,23,14,1346,15.0,3,1,1,2,2,2,1,0.20,0.07,0.27,0.07,0.13,5.0,3.5,1.3,4.8,0.33,0.09,0.42,0.23,0.32,Matches
Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,25-286,1996,18,15,1372,15.2,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,0.3,0.5,0.02,0.02,0.04,0.02,0.04,Matches
Justin Kluivert,nl NED,MF,Nice,fr Ligue 1,22-314,1999,17,16,1190,13.2,3,3,3,0,0,3,1,0.23,0.23,0.45,0.23,0.45,1.6,1.6,2.3,3.8,0.12,0.17,0.29,0.12,0.29,Matches
Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,25-293,1996,5,2,194,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.15,0.15,0.00,0.15,Matches
Ansgar Knauff,de GER,"FW,MF",Dortmund,de Bundesliga,20-064,2002,5,0,114,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.11,0.18,0.07,0.18,Matches
Ansgar Knauff,de GER,"DF,FW",Eint Frankfurt,de Bundesliga,20-064,2002,5,3,263,2.9,1,0,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,0.1,0.1,0.3,0.4,0.02,0.10,0.13,0.02,0.13,Matches
Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,29-297,1992,25,25,2250,25.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.01,0.00,0.01,0.01,0.01,Matches
Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,24-099,1997,24,24,2115,23.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Robin Koch,de GER,"MF,DF",Leeds United,eng Premier League,25-241,1996,12,11,961,10.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.8,0.04,0.03,0.07,0.04,0.07,Matches
Philippe Koffi,fr FRA,FW,Reims,fr Ligue 1,20-006,2002,10,3,375,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.9,0.9,0.2,1.1,0.20,0.05,0.26,0.20,0.26,Matches
Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,28-043,1994,14,12,1005,11.2,0,1,0,0,0,8,2,0.00,0.09,0.09,0.00,0.09,0.9,0.9,0.9,1.8,0.08,0.08,0.16,0.08,0.16,Matches
Koba Koindredi,fr FRA,MF,Valencia,es La Liga,20-139,2001,9,1,167,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Koke,es ESP,MF,Atlético Madrid,es La Liga,30-066,1992,22,21,1808,20.1,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.9,0.9,0.9,1.8,0.04,0.05,0.09,0.04,0.09,Matches
Aleksandr Kokorin,ru RUS,"FW,MF",Fiorentina,it Serie A,30-361,1991,5,0,50,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Aleksandar Kolarov,rs SRB,DF,Inter,it Serie A,36-125,1985,3,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches
Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,28-268,1993,2,1,91,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,28-268,1993,6,3,224,2.5,0,1,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,0.0,0.0,0.2,0.2,0.00,0.06,0.06,0.00,0.06,Matches
Randal Kolo Muani,fr FRA,FW,Nantes,fr Ligue 1,23-100,1998,27,26,2276,25.3,10,2,10,0,0,2,0,0.40,0.08,0.47,0.40,0.47,6.3,6.3,2.3,8.7,0.25,0.09,0.34,0.25,0.34,Matches
Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,30-165,1991,25,25,2168,24.1,2,2,2,0,0,3,1,0.08,0.08,0.17,0.08,0.17,1.8,1.8,1.2,3.0,0.07,0.05,0.12,0.07,0.12,Matches
Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,26-078,1995,22,22,1878,20.9,1,2,1,0,0,1,0,0.05,0.10,0.14,0.05,0.14,0.4,0.4,2.0,2.5,0.02,0.10,0.12,0.02,0.12,Matches
Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,22-294,1999,8,8,720,8.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03,Matches
Geoffrey Kondogbia,cf CTA,"MF,DF",Atlético Madrid,es La Liga,29-028,1993,19,13,1180,13.1,1,2,1,0,0,8,1,0.08,0.15,0.23,0.08,0.23,0.3,0.3,0.5,0.7,0.02,0.04,0.06,0.02,0.06,Matches
Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,22-272,1999,6,0,138,1.5,3,0,3,0,0,1,0,1.96,0.00,1.96,1.96,1.96,1.9,1.9,0.3,2.2,1.27,0.18,1.45,1.27,1.45,Matches
Kouadio Koné,fr FRA,MF,M'Gladbach,de Bundesliga,20-302,2001,20,19,1582,17.6,2,0,2,0,0,6,0,0.11,0.00,0.11,0.11,0.11,1.3,1.3,0.7,1.9,0.07,0.04,0.11,0.07,0.11,Matches
Youssouf Koné,ml MLI,DF,Troyes,fr Ligue 1,26-253,1995,15,6,599,6.7,0,1,0,0,0,2,1,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.8,0.9,0.02,0.12,0.14,0.02,0.14,Matches
Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,24-143,1997,22,22,1888,21.0,2,0,2,0,0,5,2,0.10,0.00,0.10,0.10,0.10,1.4,1.4,0.3,1.7,0.07,0.01,0.08,0.07,0.08,Matches
Teun Koopmeiners,nl NED,MF,Atalanta,it Serie A,24-015,1998,22,17,1527,17.0,4,1,4,0,0,2,0,0.24,0.06,0.29,0.24,0.29,1.8,1.8,3.3,5.1,0.11,0.20,0.30,0.11,0.30,Matches
Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,36-186,1985,11,11,933,10.4,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,21-070,2001,19,12,1083,12.0,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.0,0.0,0.6,0.7,0.00,0.05,0.06,0.00,0.06,Matches
Filip Kostić,rs SRB,"DF,FW",Eint Frankfurt,de Bundesliga,29-134,1992,23,21,1916,21.3,3,8,3,0,0,2,0,0.14,0.38,0.52,0.14,0.52,2.1,2.1,7.6,9.7,0.10,0.36,0.46,0.10,0.46,Matches
Rominigue Kouamé,ml MLI,MF,Troyes,fr Ligue 1,25-088,1996,25,25,2186,24.3,1,2,1,0,0,3,0,0.04,0.08,0.12,0.04,0.12,1.9,1.9,1.9,3.9,0.08,0.08,0.16,0.08,0.16,Matches
Nianzou Kouassi,fr FRA,"DF,MF",Bayern Munich,de Bundesliga,19-281,2002,11,1,181,2.0,0,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,0.0,0.0,0.3,0.4,0.02,0.16,0.19,0.02,0.19,Matches
Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,30-268,1991,19,19,1685,18.7,2,1,2,0,0,4,1,0.11,0.05,0.16,0.11,0.16,1.5,1.5,0.1,1.7,0.08,0.01,0.09,0.08,0.09,Matches
Jules Koundé,fr FRA,DF,Sevilla,es La Liga,23-123,1998,22,21,1836,20.4,0,1,0,0,0,2,2,0.00,0.05,0.05,0.00,0.05,0.4,0.4,1.8,2.2,0.02,0.09,0.11,0.02,0.11,Matches
Christos Kourfalidis,gr GRE,"MF,DF",Cagliari,it Serie A,19-124,2002,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.06,0.00,1.06,1.06,1.06,Matches
Boubakar Kouyaté,ml MLI,DF,Metz,fr Ligue 1,24-334,1997,21,21,1855,20.6,1,0,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05,0.9,0.9,0.1,1.1,0.04,0.01,0.05,0.04,0.05,Matches
Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,eng Premier League,32-084,1989,22,19,1665,18.5,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.5,0.5,0.7,1.2,0.03,0.04,0.06,0.03,0.06,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,27-313,1994,20,13,1277,14.2,2,5,2,0,0,4,0,0.14,0.35,0.49,0.14,0.49,1.3,1.3,2.8,4.0,0.09,0.20,0.28,0.09,0.28,Matches
Viktor Kovalenko,ua UKR,MF,Spezia,it Serie A,26-029,1996,17,12,966,10.7,1,3,1,0,0,2,0,0.09,0.28,0.37,0.09,0.37,0.2,0.2,1.0,1.2,0.02,0.10,0.11,0.02,0.11,Matches
Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,27-225,1994,12,10,944,10.5,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,0.6,0.8,0.02,0.06,0.08,0.02,0.08,Matches
Alex Král,cz CZE,MF,West Ham,eng Premier League,23-300,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,de Bundesliga,30-269,1991,24,22,1987,22.1,4,7,4,0,0,2,0,0.18,0.32,0.50,0.18,0.50,8.4,8.4,5.9,14.2,0.38,0.27,0.64,0.38,0.64,Matches
Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,31-024,1991,13,7,663,7.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.03,0.03,0.06,0.03,0.06,Matches
Jean-Philippe Krasso,fr FRA,FW,Saint-Étienne,fr Ligue 1,24-241,1997,16,5,453,5.0,1,1,1,0,0,0,0,0.20,0.20,0.40,0.20,0.40,1.6,1.6,0.6,2.1,0.31,0.11,0.42,0.31,0.42,Matches
Julian Kristoffersen,no NOR,FW,Salernitana,it Serie A,24-309,1997,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.61,0.00,0.61,0.61,0.61,Matches
Toni Kroos,de GER,MF,Real Madrid,es La Liga,32-070,1990,19,19,1615,17.9,1,3,1,0,0,2,0,0.06,0.17,0.22,0.06,0.22,1.9,1.9,2.6,4.5,0.10,0.15,0.25,0.10,0.25,Matches
Florian Krüger,de GER,"FW,MF",Arminia,de Bundesliga,23-030,1999,22,9,867,9.6,0,2,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,0.9,0.9,1.4,2.2,0.09,0.14,0.23,0.09,0.23,Matches
Tim Krul,nl NED,GK,Norwich City,eng Premier League,33-346,1988,22,22,1980,22.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.02,0.02,0.00,0.02,Matches
Rade Krunić,ba BIH,"MF,FW",Milan,it Serie A,28-159,1993,20,12,1097,12.2,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.8,0.8,0.5,1.4,0.07,0.04,0.11,0.07,0.11,Matches
Max Kruse,de GER,"MF,FW",Wolfsburg,de Bundesliga,33-361,1988,6,6,514,5.7,2,0,1,1,1,0,0,0.35,0.00,0.35,0.18,0.18,2.0,1.3,1.1,2.3,0.35,0.19,0.54,0.22,0.41,Matches
Max Kruse,de GER,"FW,MF",Union Berlin,de Bundesliga,33-361,1988,16,16,1270,14.1,5,4,2,3,3,1,0,0.35,0.28,0.64,0.14,0.43,4.9,2.6,3.4,6.0,0.35,0.24,0.59,0.18,0.43,Matches
Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,29-197,1992,23,21,1866,20.7,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,1.1,1.1,0.8,1.9,0.05,0.04,0.09,0.05,0.09,Matches
Takefusa Kubo,jp JPN,"FW,MF",Mallorca,es La Liga,20-284,2001,19,15,1246,13.8,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,2.3,2.3,2.4,4.7,0.17,0.18,0.34,0.17,0.34,Matches
Juraj Kucka,sk SVK,MF,Watford,eng Premier League,35-017,1987,22,18,1586,17.6,1,1,1,0,0,4,1,0.06,0.06,0.11,0.06,0.11,2.0,2.0,1.0,3.0,0.12,0.06,0.17,0.12,0.17,Matches
Mykola Kukharevych,ua UKR,FW,Troyes,fr Ligue 1,20-257,2001,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.45,0.00,0.45,0.45,0.45,Matches
Dejan Kulusevski,se SWE,"MF,FW",Tottenham,eng Premier League,21-324,2000,7,5,502,5.6,2,3,2,0,0,1,0,0.36,0.54,0.90,0.36,0.90,1.7,1.7,1.7,3.4,0.30,0.31,0.61,0.30,0.61,Matches
Dejan Kulusevski,se SWE,"FW,MF",Juventus,it Serie A,21-324,2000,20,5,772,8.6,1,3,1,0,0,1,0,0.12,0.35,0.47,0.12,0.47,1.9,1.9,1.2,3.1,0.22,0.14,0.37,0.22,0.37,Matches
Marash Kumbulla,al ALB,DF,Roma,it Serie A,22-035,2000,12,9,754,8.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.06,0.01,0.06,0.06,0.06,Matches
Fabian Kunze,de GER,MF,Arminia,de Bundesliga,23-274,1998,18,11,1063,11.8,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.4,0.02,0.01,0.04,0.02,0.04,Matches
Enock Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,24-340,1997,22,18,1676,18.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,1.0,0.02,0.03,0.05,0.02,0.05,Matches
Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,26-215,1995,5,2,185,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.6,1.6,0.48,0.31,0.79,0.48,0.79,Matches
Giorgos Kyriakopoulos,gr GRE,"DF,FW",Sassuolo,it Serie A,26-038,1996,22,15,1430,15.9,0,2,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,0.8,0.8,2.3,3.0,0.05,0.14,0.19,0.05,0.19,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Andrea La Mantia,it ITA,FW,Empoli,it Serie A,30-313,1991,12,1,261,2.9,2,0,2,0,0,0,0,0.69,0.00,0.69,0.69,0.69,1.1,1.1,0.3,1.3,0.37,0.09,0.46,0.37,0.46,Matches
Gaëtan Laborde,fr FRA,FW,Montpellier,fr Ligue 1,27-316,1994,4,4,341,3.8,3,0,3,0,0,1,0,0.79,0.00,0.79,0.79,0.79,1.8,1.8,0.5,2.3,0.48,0.12,0.59,0.48,0.59,Matches
Gaëtan Laborde,fr FRA,FW,Rennes,fr Ligue 1,27-316,1994,24,24,2074,23.0,11,7,9,2,2,1,0,0.48,0.30,0.78,0.39,0.69,13.3,11.8,3.4,15.2,0.58,0.15,0.73,0.51,0.66,Matches
Alexandre Lacazette,fr FRA,"FW,MF",Arsenal,eng Premier League,30-291,1991,21,16,1373,15.3,4,7,2,2,3,0,0,0.26,0.46,0.72,0.13,0.59,7.5,5.3,1.6,6.9,0.49,0.11,0.60,0.34,0.45,Matches
Tom Lacoux,fr FRA,"MF,DF",Bordeaux,fr Ligue 1,20-049,2002,8,7,532,5.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.06,0.06,0.00,0.06,Matches
Lenny Lacroix,fr FRA,DF,Metz,fr Ligue 1,19-037,2003,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,21-343,2000,22,22,1925,21.4,0,0,0,0,0,4,3,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.04,0.01,0.05,0.04,0.05,Matches
Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,23-051,1999,28,28,2520,28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Víctor Laguardia,es ESP,DF,Alavés,es La Liga,32-130,1989,25,25,2243,24.9,2,1,2,0,0,7,0,0.08,0.04,0.12,0.08,0.12,1.1,1.1,0.0,1.1,0.05,0.00,0.05,0.05,0.05,Matches
Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,24-292,1997,18,9,740,8.2,2,2,2,0,0,1,0,0.24,0.24,0.49,0.24,0.49,1.5,1.5,1.0,2.5,0.18,0.12,0.30,0.18,0.30,Matches
Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,29-200,1992,13,11,842,9.4,1,0,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,0.5,0.5,1.1,1.6,0.05,0.12,0.17,0.05,0.17,Matches
Diego Lainez,mx MEX,"FW,MF",Betis,es La Liga,21-279,2000,5,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.05,0.18,0.23,0.05,0.23,Matches
Adam Lallana,eng ENG,MF,Brighton,eng Premier League,33-309,1988,21,18,1514,16.8,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,1.2,1.2,0.7,1.9,0.07,0.04,0.11,0.07,0.11,Matches
Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,31-349,1990,13,13,1168,13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
Érik Lamela,ar ARG,FW,Sevilla,es La Liga,30-011,1992,12,5,604,6.7,4,1,4,0,0,4,0,0.60,0.15,0.75,0.60,0.75,1.8,1.8,1.0,2.8,0.26,0.15,0.42,0.26,0.42,Matches
Sam Lammers,nl NED,FW,Atalanta,it Serie A,24-319,1997,2,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sam Lammers,nl NED,FW,Eint Frankfurt,de Bundesliga,24-319,1997,12,4,412,4.6,1,0,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,1.2,1.2,0.1,1.4,0.27,0.03,0.30,0.27,0.30,Matches
