1_Player,3_Pos,4_Squad,6_Age,Performance_Gls,Performance_Ast
Karim Benzema,FW,Real Madrid,34-086,22,11
Domenico Berardi,FW,Sassuolo,27-226,12,7
Yuri Berchiche,DF,Athletic Club,32-033,0,1
Álex Berenguer,MF,Athletic Club,26-254,1,6
Bartosz Bereszyński,DF,Sampdoria,29-246,0,3
Jóhann Berg Guðmundsson,MF,Burnley,31-139,0,1
Patrick Berg,MF,Lens,24-111,0,0
Mitchell van Bergen,"FW,MF",Reims,22-200,0,0
Steven Bergwijn,"FW,MF",Tottenham,24-158,2,1
Etrit Berisha,GK,Torino,33-005,0,0
Valon Berisha,"MF,FW",Reims,29-036,0,1
Federico Bernardeschi,"FW,MF",Juventus,28-027,1,3
Paul Bernardoni,GK,Angers,24-331,0,0
Juan Bernat,DF,Paris S-G,29-014,0,0
Dimitry Bertaud,GK,Montpellier,23-282,0,0
Jason Berthomier,MF,Clermont Foot,32-068,1,5
Ryan Bertrand,DF,Leicester City,32-222,0,0
Daniel Bessa,"MF,FW",Hellas Verona,29-060,1,0
Beto,FW,Udinese,24-043,8,0
Louis Beyer,DF,M'Gladbach,21-300,0,0
Bartosz Bialek,"FW,MF",Wolfsburg,20-124,0,0
Giulian Biancone,DF,Troyes,21-349,0,2
Mads Bidstrup,MF,Brentford,21-018,0,0
Pedro Bigas,DF,Elche,31-181,0,0
El Bilal Touré,FW,Reims,20-163,1,2
Jean-Claude Billong,DF,Clermont Foot,28-077,0,0
Luis Binks,DF,Bologna,20-194,0,0
Cristiano Biraghi,DF,Fiorentina,29-195,4,0
Davide Biraschi,DF,Genoa,27-256,0,0
Yves Bissouma,MF,Brighton,25-197,0,1
Nathan Bitu Mazala,DF,Paris S-G,19-095,0,0
Marco Bizot,GK,Brest,31-005,0,1
Bjarki Bjarkason,FW,Venezia,21-308,0,0
Blanco,MF,Real Madrid,21-235,0,0
Ludovic Blas,"MF,FW",Nantes,24-074,8,2
Danny Blum,FW,Bochum,31-067,2,0
Myron Boadu,FW,Monaco,21-060,1,1
Jérôme Boateng,DF,Lyon,33-193,0,1
Kevin-Prince Boateng,"MF,FW",Hertha BSC,35-009,0,0
Antonin Bobichon,"MF,FW",Angers,26-182,0,0
Herbert Bockhorn,"DF,MF",Bochum,27-043,0,0
Jean-Paul Boëtius,MF,Mainz 05,27-358,2,1
Jeremie Boga,"FW,MF",Atalanta,25-071,0,2
Luka Bogdan,DF,Salernitana,25-354,0,0
Emil Bohinen,MF,Salernitana,23-003,0,0
Quentin Boisgard,MF,Lorient,24-363,0,0
Charles Boli,MF,Lens,23-197,0,0
Willy Boly,DF,Wolves,31-040,0,0
Giacomo Bonaventura,MF,Fiorentina,32-205,3,2
Federico Bonazzoli,"FW,MF",Salernitana,24-298,7,0
Tarsis Bonga,FW,Bochum,25-064,0,0
Kevin Bonifazi,DF,Bologna,25-300,0,0
Solomon Bonnah,DF,RB Leipzig,18-208,0,0
Leonardo Bonucci,DF,Juventus,34-318,3,0
Sebastiaan Bornauw,DF,Wolfsburg,22-358,1,0
Rafael Borré,FW,Eint Frankfurt,26-181,7,4
Sven Botman,DF,Lille,22-062,3,1
Denis Bouanga,"FW,MF",Saint-Étienne,27-124,5,2
Hicham Boudaoui,MF,Nice,22-173,2,1
Ryad Boudebouz,"MF,FW",Saint-Étienne,32-024,2,1
Sofiane Boufal,FW,Angers,28-179,5,4
Farid Boulaya,"FW,MF",Metz,29-018,3,1
Yassine Bounou,GK,Sevilla,30-344,0,2
Ismaëlben Boura,DF,Lens,21-213,0,0
Mehdi Bourabia,MF,Spezia,30-220,1,0
Benjamin Bourigeaud,"MF,FW",Rennes,28-060,6,7
Redwan Bourles,"MF,FW",Lorient,19-072,0,0
Edoardo Bove,MF,Roma,19-303,1,0
Jarrod Bowen,FW,West Ham,25-085,8,8
Dedryck Boyata,DF,Hertha BSC,31-107,0,0
Lucas Boyé,FW,Elche,26-015,7,3
Domagoj Bradarić,"DF,MF",Lille,22-095,0,0
Bilal Brahimi,"MF,FW",Nice,22-001,0,1
Martin Braithwaite,FW,Barcelona,30-283,2,1
Julian Brandt,"MF,FW",Dortmund,25-317,5,6
Jarrad Branthwaite,DF,Everton,19-261,1,0
Darko Brašanac,MF,Osasuna,30-031,0,2
Lilian Brassier,DF,Brest,22-133,0,0
Claudio Bravo,GK,Betis,38-336,0,0
Iker Bravo,FW,Leverkusen,17-061,0,0
Fabian Bredlow,GK,Stuttgart,27-013,0,0
Josip Brekalo,"MF,FW",Torino,23-265,6,2
Gleison Bremer,DF,Torino,24-362,3,1
Jimmy Briand,"FW,MF",Bordeaux,36-225,2,1
Yan Brice Eteki,MF,Granada,24-201,0,0
Brian Brobbey,FW,RB Leipzig,20-042,0,2
Armando Broja,FW,Southampton,20-186,6,0
Dylan Bronn,DF,Metz,26-269,1,1
John Brooks,DF,Wolfsburg,29-046,0,1
Daniel Brosinski,DF,Mainz 05,33-241,0,0
Josh Brownhill,MF,Burnley,26-086,1,1
Marcelo Brozović,MF,Inter,29-119,0,1
Cédric Brunner,DF,Arminia,28-026,0,1
Jacob Bruun Larsen,"FW,MF",Hoffenheim,23-177,4,0
Bryan,"FW,MF",Tottenham,21-032,0,1
Ante Budimir,FW,Osasuna,30-236,2,0
Emi Buendía,"FW,MF",Aston Villa,25-080,2,4
Osman Bukari,"FW,MF",Nantes,23-092,1,3
Aleksander Buksa,FW,Genoa,19-059,0,0
Alessandro Buongiorno,DF,Torino,22-282,0,1
Sascha Burchert,GK,Greuther Fürth,32-136,0,0
Delano Burgzorg,FW,Mainz 05,23-128,1,0
Jonathan Burkardt,FW,Mainz 05,21-247,7,3
Dan Burn,DF,Newcastle Utd,29-310,1,1
Maxime Busi,DF,Reims,22-152,0,0
Gianluca Busio,MF,Venezia,19-291,1,1
Oriol Busquets,MF,Clermont Foot,23-054,0,0
Sergio Busquets,MF,Barcelona,33-242,1,0
Jack Butland,GK,Crystal Palace,29-005,0,0
Adrián Butzke,FW,Granada,22-350,0,0
Marcin Bułka,GK,Nice,22-162,0,0
Sam Byram,"DF,MF",Norwich City,28-180,0,0
Erick Cabaco,DF,Getafe,26-330,0,1
Willy Caballero,GK,Southampton,40-168,0,0
Jimmy Cabot,DF,Angers,27-331,0,5
Jovane Cabral,FW,Lazio,23-274,0,0
Leandro Cabrera,DF,Espanyol,30-271,2,0
Liberato Cacace,DF,Empoli,21-169,0,0
Martín Cáceres,DF,Levante,34-342,1,1
Anthony Caci,DF,Strasbourg,24-257,0,3
Mathieu Cafaro,"FW,MF",Reims,24-355,0,0
Yannick Cahuzac,MF,Lens,37-056,0,0
Felipe Caicedo,FW,Genoa,33-191,1,2
Marc-Aurèle Caillard,GK,Metz,27-307,0,0
Jens Cajuste,MF,Reims,22-217,1,0
Cala,DF,Cádiz,32-109,0,0
Davide Calabria,DF,Milan,25-099,2,3
Riccardo Calafiori,DF,Genoa,19-300,0,1
Mattia Caldara,DF,Venezia,27-314,1,0
Calderón,DF,Betis,22-067,0,0
Fernando Calero,DF,Espanyol,26-182,0,0
Duje Ćaleta-Car,DF,Marseille,25-179,1,0
Hakan Çalhanoğlu,MF,Inter,28-035,6,8
Daniel Caligiuri,"MF,DF",Augsburg,34-059,3,2
José Callejón,FW,Fiorentina,35-032,1,2
Lucas Calodat,DF,Saint-Étienne,20-037,0,0
Dominic Calvert-Lewin,FW,Everton,24-364,3,0
Mahdi Camara,"MF,DF",Saint-Étienne,23-258,1,0
Mamadou Camara,FW,Troyes,21-036,0,0
Víctor Camarasa,"MF,FW",Betis,27-291,0,0
Eduardo Camavinga,MF,Real Madrid,19-125,2,0
Andrea Cambiaso,DF,Genoa,22-023,1,4
José Campaña,MF,Levante,28-288,2,0
Emre Can,"MF,DF",Dortmund,28-062,3,0
Sergio Canales,"FW,MF",Betis,31-027,4,6
Matteo Cancellieri,"MF,DF",Hellas Verona,20-031,0,0
João Cancelo,DF,Manchester City,27-292,1,5
Fali Candé,DF,Metz,24-050,0,1
Antonio Candreva,"MF,FW",Sampdoria,35-015,7,8
Sergi Canós,DF,Brentford,25-041,2,2
Álex Cantero,"FW,MF",Levante,21-280,0,1
Todd Cantwell,"FW,MF",Norwich City,24-016,0,0
Pierrick Capelle,"MF,DF",Angers,34-334,0,1
Leonardo Capezzi,MF,Salernitana,26-352,0,0
Étienne Capoue,MF,Villarreal,33-247,1,1
Gianluca Caprari,"FW,MF",Hellas Verona,28-228,10,7
Francesco Caputo,FW,Sampdoria,34-221,7,4
Maxence Caqueret,MF,Lyon,22-028,0,0
Andrea Carboni,DF,Cagliari,21-039,0,0
Isaac Carcelen,"DF,MF",Cádiz,28-326,0,0
Cárdenas,GK,Levante,24-352,0,0
Irvin Cardona,FW,Brest,24-219,3,1
Igor Carioca,DF,Lorient,25-206,0,0
Carlo,MF,Villarreal,21-031,0,0
Diego Carlos,DF,Sevilla,29-000,2,0
Carmona,DF,Sevilla,20-045,0,0
Yannick Carrasco,"DF,MF",Atlético Madrid,28-192,3,5
Guido Carrillo,FW,Elche,30-294,1,0
Dani Carvajal,DF,Real Madrid,30-063,1,1
William Carvalho,MF,Betis,29-342,1,3
Nicolò Casale,DF,Hellas Verona,24-029,0,1
Casemiro,MF,Real Madrid,30-020,0,3
Matty Cash,DF,Aston Villa,24-220,3,3
Kiko Casilla,GK,Elche,35-164,0,0
Moreto Cassamã,MF,Reims,24-027,2,0
Francesco Cassata,MF,Genoa,24-242,0,0
Timothy Castagne,DF,Leicester City,26-100,0,0
Koen Casteels,GK,Wolfsburg,29-263,0,0
Jean-Charles Castelletto,DF,Nantes,27-048,1,0
Samu Castillejo,"FW,MF",Milan,27-056,0,0
Gonzalo Castro,MF,Arminia,34-277,1,0
Jonny Castro,DF,Wolves,28-012,0,0
Gaetano Castrovilli,MF,Fiorentina,25-026,1,1
Danilo Cataldi,MF,Lazio,27-221,1,1
Catena,DF,Rayo Vallecano,27-138,1,1
Craig Cathcart,DF,Watford,33-037,0,1
Edinson Cavani,FW,Manchester Utd,35-029,2,1
Dani Ceballos,MF,Real Madrid,25-220,0,0
Pietro Ceccaroni,DF,Venezia,26-084,2,1
Federico Ceccherini,DF,Hellas Verona,29-308,0,0
Emil Ceide,FW,Sassuolo,20-193,0,0
Zeki Çelik,DF,Lille,25-026,1,1
Fabien Centonze,DF,Metz,26-058,4,1
Luca Ceppitelli,DF,Cagliari,32-216,1,1
Franco Cervi,MF,Celta Vigo,27-293,3,3
Leonardo César Jardim,GK,Lille,26-360,0,0
Damir Ceter,FW,Cagliari,24-133,0,0
Julian Chabot,DF,Sampdoria,24-031,0,0
Nassim Chadli,"MF,DF",Troyes,20-230,0,0
Kayky Chagas,FW,Manchester City,18-277,0,0
Mehdi Chahiri,MF,Strasbourg,25-233,0,0
Trevoh Chalobah,DF,Chelsea,22-253,3,1
Calum Chambers,DF,Arsenal,27-054,1,0
Dylan Chambost,"MF,FW",Troyes,24-208,0,1
Timothy Chandler,DF,Eint Frankfurt,31-351,0,0
Chapela,"MF,FW",Cádiz,22-298,0,0
Brendan Chardonnet,DF,Brest,27-083,2,0
Xavier Chavalerin,"MF,FW",Troyes,31-008,5,2
Chema,MF,Getafe,30-012,0,0
Rayan Cherki,"FW,MF",Lyon,18-210,0,1
Denis Cheryshev,MF,Valencia,31-079,0,1
Daniel Chesters,MF,West Ham,19-345,0,0
Giorgio Chiellini,DF,Juventus,37-213,0,0
Federico Chiesa,"MF,FW",Juventus,24-141,2,1
Ben Chilwell,DF,Chelsea,25-084,3,1
Chiquinho,"MF,DF",Wolves,22-038,0,1
Vlad Chiricheș,DF,Sassuolo,32-121,0,0
Pedro Chirivella,MF,Nantes,24-296,2,1
Joris Chotard,MF,Montpellier,20-172,0,1
Hamza Choudhury,"DF,MF",Leicester City,24-165,0,0
Andreas Christensen,DF,Chelsea,25-339,0,0
Max Christiansen,MF,Greuther Fürth,25-171,0,0
Carney Chukwuemeka,"MF,FW",Aston Villa,18-067,0,1
Samuel Chukwueze,MF,Villarreal,22-297,2,2
Víctor Chust,DF,Cádiz,22-010,0,0
Riccardo Ciervo,"MF,DF",Sampdoria,19-348,0,1
