1_Player,3_Pos,4_Squad,6_Age,Performance_Gls,Performance_Ast
Munir El Haddadi,FW,Sevilla,26-195,2,0
André Hahn,"FW,MF",Augsburg,31-214,3,1
Amadou Haidara,MF,RB Leipzig,24-043,3,1
Massadio Haïdara,DF,Lens,29-103,0,1
Oualid El Hajjam,DF,Troyes,31-024,1,1
Achraf Hakimi,DF,Paris S-G,23-131,3,4
Marcel Halstenberg,DF,RB Leipzig,30-169,0,0
Pierre-Yves Hamel,"FW,DF",Lorient,28-040,0,0
Romain Hamouma,FW,Saint-Étienne,34-351,1,1
Samir Handanović,GK,Inter,37-244,0,0
Grant Hanley,DF,Norwich City,30-115,1,0
Ridgeciano Haps,DF,Venezia,28-276,1,1
Genki Haraguchi,MF,Union Berlin,30-310,1,4
Amine Harit,"MF,FW",Marseille,24-270,2,2
Varazdat Haroyan,DF,Cádiz,29-203,1,0
Jack Harrison,"FW,MF",Leeds United,25-115,4,1
Abdou Harroui,MF,Sassuolo,24-061,0,0
Makoto Hasebe,"DF,MF",Eint Frankfurt,38-056,0,0
Hans Hateboer,DF,Atalanta,28-065,0,0
Kortney Hause,DF,Aston Villa,26-242,1,0
Kai Havertz,"FW,MF",Chelsea,22-277,6,2
Isaac Hayden,"MF,DF",Newcastle Utd,26-358,1,0
Eden Hazard,"FW,MF",Real Madrid,31-067,0,1
Thorgan Hazard,"FW,DF",Dortmund,28-351,4,1
Jonas Hector,DF,Köln,31-292,0,5
Hwang Hee-chan,"FW,MF",Wolves,26-048,5,1
Silvan Hefti,DF,Genoa,24-141,0,0
Dominique Heintz,DF,Union Berlin,28-212,0,0
Jordan Henderson,MF,Liverpool,31-271,2,5
Liam Henderson,MF,Empoli,25-324,1,2
Jeff Hendrick,MF,Newcastle Utd,30-043,1,0
Wayne Hennessey,GK,Burnley,35-050,0,0
Benjamin Henrichs,DF,RB Leipzig,25-020,3,3
Henrique,DF,Lyon,27-324,0,0
Dalbert Henrique,"DF,MF",Cagliari,28-188,0,1
Luis Henrique,"FW,MF",Marseille,20-091,0,1
Matheus Henrique,MF,Sassuolo,24-086,0,1
Rico Henry,DF,Brentford,24-250,2,0
Thomas Henry,FW,Venezia,27-176,6,2
Christophe Hérelle,DF,Brest,29-205,0,0
Jérôme Hergault,"DF,MF",Lorient,35-344,0,0
Kike Hermoso,DF,Betis,22-217,1,0
Mario Hermoso,DF,Atlético Madrid,26-270,2,1
Aridane Hernández,DF,Osasuna,32-357,0,0
Lucas Hernández,DF,Bayern Munich,26-029,0,0
Luis Hernández,DF,Cádiz,32-335,0,0
Mario Hernández,"DF,FW",Rayo Vallecano,23-049,1,0
Theo Hernández,DF,Milan,24-160,4,5
Hernani,"MF,FW",Genoa,27-353,0,0
Ander Herrera,MF,Paris S-G,32-213,3,2
Héctor Herrera,MF,Atlético Madrid,31-330,0,0
Sergio Herrera,GK,Osasuna,28-283,0,0
Yangel Herrera,MF,Espanyol,24-067,1,1
Patrick Herrmann,"DF,FW",M'Gladbach,31-031,0,3
Son Heung-min,"FW,MF",Tottenham,29-250,11,5
Daan Heymans,"MF,FW",Venezia,22-273,0,1
Aaron Hickey,DF,Bologna,19-278,4,1
Piero Hincapié,DF,Leverkusen,20-065,1,2
Martin Hinteregger,DF,Eint Frankfurt,29-189,1,0
Marwin Hitz,GK,Dortmund,34-178,0,0
Ki-Jana Hoever,DF,Wolves,20-056,0,0
Nicolas Höfler,MF,Freiburg,32-006,2,3
Jonas Hofmann,"MF,FW",M'Gladbach,29-244,8,2
Rob Holding,DF,Arsenal,26-176,0,0
Lucas Höler,"FW,MF",Freiburg,27-248,5,1
Mason Holgate,DF,Everton,25-144,0,0
Gerrit Holtmann,"FW,MF",Bochum,26-355,4,4
Martin Hongla,MF,Hellas Verona,23-364,0,0
Franck Honorat,"MF,FW",Brest,25-216,9,4
Justin Hoogma,DF,Greuther Fürth,23-277,0,0
Sydney van Hooijdonk,"FW,MF",Bologna,22-037,0,0
Matthew Hoppe,FW,Mallorca,21-002,0,1
Jannes Horn,DF,Köln,25-037,0,0
Timo Horn,GK,Köln,28-307,0,0
Fraser Hornby,"FW,MF",Reims,22-183,0,0
Cédric Hountondji,DF,Clermont Foot,28-055,1,0
Lukáš Hrádecký,GK,Leverkusen,32-111,0,0
Branimir Hrgota,FW,Greuther Fürth,29-062,8,4
Petko Hristov,DF,Spezia,23-014,0,0
Ajdin Hrustic,MF,Eint Frankfurt,25-253,2,0
Timo Hübers,DF,Köln,25-238,1,0
Benjamin Hübner,DF,Hoffenheim,32-254,1,0
Callum Hudson-Odoi,"FW,MF",Chelsea,21-128,1,2
Will Hughes,MF,Crystal Palace,26-332,0,1
Mats Hummels,DF,Dortmund,33-089,1,2
Elseid Hysaj,DF,Lazio,28-023,1,0
Suk Hyun-jun,"FW,MF",Troyes,30-259,0,0
Pierre Højbjerg,MF,Tottenham,26-222,2,2
Iago,DF,Augsburg,24-357,1,4
Robert Ibáñez,MF,Osasuna,28-358,0,0
Roger Ibanez,DF,Roma,23-112,3,0
Vicente Iborra,MF,Villarreal,34-058,0,1
Zlatan Ibrahimović,FW,Milan,40-163,8,1
Mauro Icardi,FW,Paris S-G,29-024,4,0
Adam Idah,"FW,MF",Norwich City,21-004,1,1
Oussama Idrissi,"FW,MF",Sevilla,26-017,1,1
Iglesias,DF,Getafe,23-255,0,1
Borja Iglesias,FW,Betis,29-057,8,0
Jonathan Iglesias,MF,Clermont Foot,33-088,0,0
Juan Ignacio Ramírez,FW,Saint-Étienne,25-042,0,0
Igor,DF,Fiorentina,24-036,0,0
Kelechi Iheanacho,"FW,MF",Leicester City,25-163,2,5
Danylo Ihnatenko,"MF,FW",Bordeaux,25-002,0,0
Jonathan Ikone,FW,Fiorentina,23-317,1,0
Ivan Ilić,MF,Hellas Verona,20-363,1,3
Josip Iličić,"FW,MF",Atalanta,34-045,3,3
Asier Illarramendi,MF,Real Sociedad,32-007,0,0
Stefan Ilsanker,"DF,MF",Eint Frankfurt,32-301,0,0
Ciro Immobile,FW,Lazio,32-023,21,2
Burak İnce,FW,Arminia,18-054,0,0
Danny Ings,FW,Aston Villa,29-235,5,5
Marcus Ingvartsen,MF,Union Berlin,26-070,3,0
Bonke Innocent,MF,Lorient,26-054,0,0
Lorenzo Insigne,FW,Napoli,30-284,7,5
Nikita Iosifov,MF,Villarreal,20-338,0,0
Tim Iroegbunam,MF,Aston Villa,,0,0
Alexander Isak,FW,Real Sociedad,22-175,4,2
Isco,"MF,FW",Real Madrid,29-328,1,0
Wilson Isidor,"FW,MF",Monaco,21-200,0,0
Ardian Ismajli,DF,Empoli,25-166,0,0
Hiroki Ito,DF,Stuttgart,22-307,1,0
Cedric Itten,FW,Greuther Fürth,25-078,2,0
Gian-Luca Itter,DF,Greuther Fürth,23-069,0,1
Alex Iwobi,"MF,FW",Everton,25-316,1,1
Armando Izzo,DF,Torino,30-013,0,0
Nicolas Jackson,FW,Villarreal,20-268,0,0
Lee Jae-sung,"MF,FW",Mainz 05,29-217,4,2
Paul Jaeckel,DF,Union Berlin,23-236,0,0
Mato Jajalo,MF,Udinese,33-294,0,1
Kristijan Jakić,MF,Eint Frankfurt,24-305,1,0
Ismail Jakobs,DF,Monaco,22-210,0,0
Marin Jakoliš,FW,Angers,25-079,0,0
Abdel Jalil Medioub,DF,Bordeaux,24-199,0,0
Daniel James,FW,Manchester Utd,24-125,4,3
Reece James,DF,Chelsea,22-097,5,6
Vitaly Janelt,MF,Brentford,23-309,2,0
Jakub Jankto,"DF,MF",Getafe,26-055,0,1
Pontus Jansson,DF,Brentford,31-030,1,1
Tony Jantschke,DF,M'Gladbach,31-342,0,0
Adnan Januzaj,"FW,MF",Real Sociedad,27-038,2,0
Paweł Jaroszyński,DF,Salernitana,27-164,0,0
Jason,"MF,FW",Alavés,27-252,0,0
Dennis Jastrzembski,"DF,FW",Hertha BSC,22-023,0,0
Luis Javier Suárez,FW,Granada,24-103,6,3
Corentin Jean,"FW,DF",Lens,26-243,0,0
Jemerson,DF,Metz,29-203,0,0
Fredrik Jensen,"MF,FW",Augsburg,24-187,0,1
Mathias Jensen,MF,Brentford,26-073,0,1
Moritz Jenz,DF,Lorient,22-319,1,0
Gabriel Jesus,FW,Manchester City,24-346,2,7
Juan Jesus,DF,Napoli,30-278,1,0
Álvaro Jiménez,"MF,FW",Cádiz,26-300,0,0
Raúl Jiménez,FW,Wolves,30-314,6,3
Joaquín,"FW,MF",Betis,40-237,0,1
Joelinton,"MF,FW",Newcastle Utd,25-213,2,1
Jofre,"DF,MF",Espanyol,20-271,0,1
Marco John,DF,Hoffenheim,19-347,0,0
Dennis Johnsen,"FW,MF",Venezia,24-026,0,2
Ben Johnson,DF,West Ham,22-050,1,0
Curtis Jones,MF,Liverpool,21-044,1,1
Phil Jones,DF,Manchester Utd,30-022,0,0
Frenkie de Jong,MF,Barcelona,24-307,3,3
Luuk de Jong,FW,Barcelona,31-200,5,0
Joan Jordán,MF,Sevilla,27-252,0,1
Kaio Jorge,"MF,FW",Juventus,20-050,0,0
Jorginho,MF,Chelsea,30-085,6,2
Josan,"DF,MF",Elche,32-102,1,1
Willian José,FW,Betis,30-112,8,4
Joselu,FW,Alavés,31-353,12,2
Josema,DF,Elche,25-282,0,0
Lenny Joseph,"FW,MF",Metz,21-154,0,0
Diogo Jota,FW,Liverpool,25-101,12,1
Stevan Jovetić,FW,Hertha BSC,32-133,6,1
Luka Jović,FW,Real Madrid,24-082,1,2
Miguel Juan Llambrich,DF,Espanyol,26-056,0,0
José Juan Macías,"FW,MF",Getafe,22-174,0,0
Juanmi,FW,Betis,28-299,12,1
Gideon Jung,DF,Greuther Fürth,27-184,0,0
Flavio Junior Bianchi,"FW,MF",Genoa,22-050,1,0
Hamed Junior Traorè,"MF,FW",Sassuolo,22-027,4,2
Lago Junior,"FW,MF",Mallorca,31-074,0,0
Vinicius Júnior,FW,Real Madrid,21-246,14,6
James Justin,DF,Leicester City,24-020,0,0
Jutglà,FW,Barcelona,23-042,1,0
Jens Jønsson,MF,Cádiz,29-064,0,1
Mathias Jørgensen,DF,Brentford,31-326,1,0
Ozan Kabak,DF,Norwich City,21-355,0,0
Christian Kabasele,DF,Watford,31-019,0,0
Issa Kaboré,DF,Troyes,20-307,0,1
Anton Kade,"DF,MF",Hertha BSC,18-057,0,0
Pavel Kadeřábek,DF,Hoffenheim,29-324,1,1
Tino Kadewere,FW,Lyon,26-069,1,0
Florian Kainz,"MF,FW",Köln,29-142,3,3
Gaël Kakuta,"MF,FW",Lens,30-267,3,2
Sasa Kalajdzic,FW,Stuttgart,24-251,3,1
Arnaud Kalimuendo,FW,Paris S-G,20-053,7,0
Nikola Kalinić,FW,Hellas Verona,34-069,4,0
Yayah Kallon,"FW,MF",Genoa,20-258,0,1
Felix Kalu Nmecha,"MF,FW",Wolfsburg,21-156,0,0
Samuel Kalu,"FW,MF",Bordeaux,24-201,1,1
Pierre Kalulu,DF,Milan,21-283,1,1
Daichi Kamada,"MF,FW",Eint Frankfurt,25-222,3,2
Boubacar Kamara,MF,Marseille,22-112,1,0
Hassane Kamara,"MF,DF",Nice,27-177,0,0
Kevin Kampl,MF,RB Leipzig,31-157,0,1
Jean-Armel Kana-Biyik,DF,Metz,32-255,0,0
Nordine Kandil,"MF,FW",Strasbourg,20-135,0,1
Harry Kane,FW,Tottenham,28-230,11,3
Lee Kangin,"MF,FW",Mallorca,21-024,1,2
N'Golo Kanté,MF,Chelsea,30-351,2,3
Stefanos Kapino,GK,Arminia,27-362,0,0
Atakan Karazor,MF,Stuttgart,25-153,0,1
Rick Karsdorp,DF,Roma,27-032,0,1
Denso Kasius,DF,Bologna,19-160,0,0
Grigoris Kastanos,"MF,FW",Salernitana,24-044,1,1
Silas Katompa,"MF,FW",Stuttgart,23-160,0,0
Noah Katterbach,DF,Köln,20-336,0,0
Eiji Kawashima,GK,Strasbourg,38-360,0,0
Edo Kayembe,MF,Watford,23-224,0,0
Moise Kean,FW,Everton,22-015,4,0
Michael Keane,DF,Everton,29-063,2,2
Ilan Kebbal,"MF,FW",Reims,23-249,1,4
Wajdi Kechrida,"DF,MF",Salernitana,26-130,0,0
Thilo Kehrer,DF,Paris S-G,25-175,2,0
Habib Keita,"MF,FW",Lyon,20-038,0,0
Naby Keïta,MF,Liverpool,27-033,2,1
Yannik Keitel,MF,Freiburg,22-028,0,0
Caoimhín Kelleher,GK,Liverpool,23-112,0,0
Marc-Oliver Kempf,DF,Hertha BSC,27-046,3,0
Jonjoe Kenny,DF,Everton,25-000,0,1
Dimitrios Keramitsis,DF,Roma,17-257,0,0
Franck Kessié,MF,Milan,25-086,5,0
Saîf-Eddine Khaoui,MF,Clermont Foot,26-322,0,0
Wahbi Khazri,"FW,MF",Saint-Étienne,31-035,9,0
Rani Khedira,MF,Union Berlin,28-047,0,0
Kike,FW,Osasuna,32-110,5,1
Luca Kilian,FW,Mainz 05,22-195,0,0
Max Kilman,DF,Wolves,24-296,1,0
Joshua Kimmich,MF,Bayern Munich,27-035,3,5
Presnel Kimpembe,DF,Paris S-G,26-214,1,0
Joshua King,FW,Watford,30-059,5,3
Jakub Kiwior,MF,Spezia,22-028,0,0
Sofian Kiyine,"MF,FW",Venezia,24-164,0,0
Simon Kjær,DF,Milan,32-354,0,0
Philipp Klement,"MF,FW",Stuttgart,29-187,1,0
Mateusz Klich,MF,Leeds United,31-275,1,2
Mateo Klimowicz,"FW,MF",Stuttgart,21-252,0,1
Fabian Klos,FW,Arminia,34-103,3,1
Lukas Klostermann,DF,RB Leipzig,25-286,0,1
Justin Kluivert,MF,Nice,22-314,3,3
Lukas Klünter,DF,Hertha BSC,25-293,0,0
Ansgar Knauff,"FW,MF",Dortmund,20-064,1,0
Robin Knoche,DF,Union Berlin,29-297,0,0
Gregor Kobel,GK,Dortmund,24-099,0,0
Robin Koch,"MF,DF",Leeds United,25-241,0,0
Philippe Koffi,FW,Reims,20-006,1,0
Dominik Kohr,MF,Mainz 05,28-043,0,1
Koba Koindredi,MF,Valencia,20-139,0,0
Koke,MF,Atlético Madrid,30-066,0,1
Aleksandr Kokorin,"FW,MF",Fiorentina,30-361,0,0
Aleksandar Kolarov,DF,Inter,36-125,0,0
Sead Kolašinac,DF,Arsenal,28-268,0,1
Randal Kolo Muani,FW,Nantes,23-100,10,2
Timothée Kolodziejczak,DF,Saint-Étienne,30-165,2,2
Ghislain Konan,DF,Reims,26-078,1,2
Ibrahima Konaté,DF,Liverpool,22-294,0,0
Geoffrey Kondogbia,"MF,DF",Atlético Madrid,29-028,1,2
Ibrahima Koné,FW,Lorient,22-272,3,0
Kouadio Koné,MF,M'Gladbach,20-302,2,0
Youssouf Koné,DF,Troyes,26-253,0,1
Ezri Konsa,DF,Aston Villa,24-143,2,0
Teun Koopmeiners,MF,Atalanta,24-015,4,1
Laurent Koscielny,DF,Bordeaux,36-186,0,1
Odilon Kossonou,DF,Leverkusen,21-070,0,1
Filip Kostić,"DF,FW",Eint Frankfurt,29-134,3,8
Rominigue Kouamé,MF,Troyes,25-088,1,2
Nianzou Kouassi,"DF,MF",Bayern Munich,19-281,0,1
Kalidou Koulibaly,DF,Napoli,30-268,2,1
Jules Koundé,DF,Sevilla,23-123,0,1
Christos Kourfalidis,"MF,DF",Cagliari,19-124,0,0
Boubakar Kouyaté,DF,Metz,24-334,1,0
Cheikhou Kouyaté,MF,Crystal Palace,32-084,0,1
Mateo Kovačić,MF,Chelsea,27-313,2,5
Viktor Kovalenko,MF,Spezia,26-029,1,3
Emil Krafth,DF,Newcastle Utd,27-225,0,1
Alex Král,MF,West Ham,23-300,0,0
Andrej Kramarić,"FW,MF",Hoffenheim,30-269,4,7
Christoph Kramer,MF,M'Gladbach,31-024,0,0
Jean-Philippe Krasso,FW,Saint-Étienne,24-241,1,1
Julian Kristoffersen,FW,Salernitana,24-309,0,0
Toni Kroos,MF,Real Madrid,32-070,1,3
Florian Krüger,"FW,MF",Arminia,23-030,0,2
Tim Krul,GK,Norwich City,33-346,0,0
Rade Krunić,"MF,FW",Milan,28-159,0,1
Max Kruse,"MF,FW",Wolfsburg,33-361,7,4
Lukas Kübler,DF,Freiburg,29-197,1,0
Takefusa Kubo,"FW,MF",Mallorca,20-284,1,0
Juraj Kucka,MF,Watford,35-017,1,1
Mykola Kukharevych,FW,Troyes,20-257,0,0
Dejan Kulusevski,"MF,FW",Tottenham,21-324,3,6
Marash Kumbulla,DF,Roma,22-035,0,0
Fabian Kunze,MF,Arminia,23-274,0,0
Enock Kwateng,DF,Bordeaux,24-340,0,0
Grejohn Kyei,FW,Clermont Foot,26-215,0,0
Giorgos Kyriakopoulos,"DF,FW",Sassuolo,26-038,0,2
Andrea La Mantia,FW,Empoli,30-313,2,0
Gaëtan Laborde,FW,Montpellier,27-316,14,7
Alexandre Lacazette,"FW,MF",Arsenal,30-291,4,7
Tom Lacoux,"MF,DF",Bordeaux,20-049,0,0
Lenny Lacroix,DF,Metz,19-037,0,0
Maxence Lacroix,DF,Wolfsburg,21-343,0,0
Alban Lafont,GK,Nantes,23-051,0,0
Víctor Laguardia,DF,Alavés,32-130,2,1
Konrad Laimer,MF,RB Leipzig,24-292,2,2
Stefan Lainer,DF,M'Gladbach,29-200,1,0
Diego Lainez,"FW,MF",Betis,21-279,0,0
Adam Lallana,MF,Brighton,33-309,0,1
Vassilis Lambropoulos,DF,Bochum,31-349,0,0
Érik Lamela,FW,Sevilla,30-011,4,1
Sam Lammers,FW,Atalanta,24-319,1,0
Tariq Lamptey,"DF,FW",Brighton,21-166,0,2
Manuel Lanzini,MF,West Ham,29-028,4,2
Aymeric Laporte,DF,Manchester City,27-292,3,0
Julien Laporte,DF,Lorient,28-131,2,0
Yasser Larouci,DF,Troyes,21-073,0,0
Kevin Lasagna,"FW,MF",Hellas Verona,29-217,1,2
Jamaal Lascelles,DF,Newcastle Utd,28-124,1,0
Bryan Lasme,"FW,MF",Arminia,23-121,2,0
Paul Lasne,"MF,FW",Brest,33-058,0,1
Toni Lato,"DF,MF",Valencia,24-114,0,1
Armand Lauriente,"FW,MF",Lorient,23-101,4,1
Darko Lazović,DF,Hellas Verona,31-181,1,3
Manuel Lazzari,DF,Lazio,28-106,2,1
Théo Le Bris,MF,Lorient,19-165,0,0
Jérémy Le Douaron,FW,Brest,23-328,5,3
Enzo Le Fée,MF,Lorient,22-040,0,2
Vincent Le Goff,DF,Lorient,32-151,1,0
Maxime Le Marchand,DF,Strasbourg,32-155,1,0
Robin Le Normand,DF,Real Sociedad,25-124,0,1
Rafael Leão,FW,Milan,22-278,8,4
Jean-Louis Leca,GK,Lens,36-175,0,0
Jeremías Ledesma,GK,Cádiz,29-030,0,0
Pierre Lees-Melou,MF,Norwich City,28-294,0,0
Wu Lei,"FW,MF",Espanyol,30-116,0,0
Maxim Leitsch,DF,Bochum,23-301,1,0
Lucas Leiva,MF,Lazio,35-065,0,0
Florian Lejeune,DF,Alavés,30-299,0,0
Iñigo Lekue,DF,Athletic Club,28-315,0,2
Thomas Lemar,MF,Atlético Madrid,26-123,4,5
Félix Lemaréchal,MF,Monaco,18-220,0,0
Mario Lemina,MF,Nice,28-195,1,0
Fabien Lemoine,MF,Lorient,34-364,0,1
Tim Lemperle,"FW,MF",Köln,20-038,2,0
Ruben Lendinez,DF,Valencia,19-001,0,0
Clément Lenglet,DF,Barcelona,26-271,0,1
Aaron Lennon,"MF,FW",Burnley,34-333,2,0
Bernd Leno,GK,Arsenal,30-011,0,0
Christopher Lenz,DF,Eint Frankfurt,27-174,0,1
Léo Leroy,MF,Montpellier,22-029,0,0
Robert Lewandowski,FW,Bayern Munich,33-206,29,1
Jamie Leweling,FW,Greuther Fürth,21-017,5,1
Jamal Lewis,DF,Newcastle Utd,24-049,0,0
Luca Lezzerini,GK,Venezia,26-356,0,0
Ben Lhassine Kone,MF,Torino,22-001,0,0
Yanis Lhery,"FW,MF",Saint-Étienne,18-312,0,0
Dimitri Liénard,"DF,MF",Strasbourg,34-030,2,2
Philipp Lienhart,DF,Freiburg,25-247,4,0
Matthijs de Ligt,DF,Juventus,22-215,2,0
Isaac Lihadji,"MF,DF",Lille,19-339,1,2
Anderson Lima,MF,Lazio,22-173,0,0
Andreas Linde,GK,Greuther Fürth,28-234,0,0
Victor Lindelöf,DF,Manchester Utd,27-241,0,2
Jesper Lindstrøm,"MF,FW",Eint Frankfurt,22-014,5,4
Karol Linetty,"MF,FW",Torino,27-041,0,0
Jesse Lingard,FW,Manchester Utd,29-090,2,0
Pol Lirola,"DF,MF",Marseille,24-214,1,2
Valentino Livramento,DF,Southampton,19-123,1,1
Dejan Ljubicic,"MF,FW",Köln,24-158,1,1
Javier Llabrés,"FW,MF",Mallorca,,0,0
Diego Llorente,DF,Leeds United,28-211,2,0
Marcos Llorente,"DF,MF",Atlético Madrid,27-044,0,2
Hugo Lloris,GK,Tottenham,35-079,0,0
Giovani Lo Celso,"FW,MF",Villarreal,25-340,0,0
Julen Lobete,"FW,MF",Real Sociedad,21-178,2,0
Stanislav Lobotka,MF,Napoli,27-110,0,0
Jürgen Locadia,"FW,MF",Bochum,28-128,1,1
Manuel Locatelli,MF,Juventus,24-066,3,3
Banzouzi Locko,"DF,MF",Reims,19-313,1,0
Renan Lodi,DF,Atlético Madrid,23-341,2,1
Ruben Loftus-Cheek,MF,Chelsea,26-051,0,2
Shane Long,"FW,MF",Southampton,35-052,1,0
Sean Longstaff,MF,Newcastle Utd,24-136,1,1
Ademola Lookman,"FW,MF",Leicester City,24-146,4,0
Anthony Lopes,GK,Lyon,31-165,0,0
David López,"MF,DF",Espanyol,32-157,0,0
Diego López,GK,Espanyol,40-132,0,0
Javi López,DF,Alavés,20-073,0,0
Maxime Lopez,MF,Sassuolo,24-101,1,1
Pau López,GK,Marseille,27-092,0,1
Unai López,MF,Rayo Vallecano,26-136,0,0
Dion Lopy,MF,Reims,20-041,0,0
Samuel Loric,DF,Lorient,21-253,0,0
Anthony Losilla,MF,Bochum,36-005,2,0
Jonas Lössl,GK,Brentford,33-042,0,0
Marcel Lotka,GK,Hertha BSC,20-294,0,0
Jordan Lotomba,DF,Nice,23-167,0,0
Imran Louza,MF,Watford,22-318,0,0
Matteo Lovato,"DF,MF",Atalanta,22-029,0,0
Eduard Löwen,MF,Bochum,25-046,1,2
Matthew Lowton,DF,Burnley,32-279,1,2
Anthony Lozano,"FW,MF",Cádiz,28-324,5,2
Hirving Lozano,FW,Napoli,26-228,4,3
Jean Lucas,MF,Monaco,23-266,1,1
Anderson Lucoqui,DF,Mainz 05,24-252,1,0
José Luis Gayà,DF,Valencia,26-294,2,3
José Luis Morales,"FW,MF",Levante,34-235,7,1
José Luis Palomino,DF,Atalanta,32-069,1,0
Florentino Luís,MF,Getafe,22-208,0,1
Luismi,FW,Sevilla,20-296,0,0
Douglas Luiz,MF,Aston Villa,23-310,1,3
Romelu Lukaku,FW,Chelsea,28-306,5,0
Castello Lukeba,DF,Lyon,19-088,1,0
Dodi Lukebakio,FW,Hertha BSC,24-172,2,2
Saša Lukić,MF,Torino,25-214,1,2
Levi Lumeka,"DF,FW",Troyes,23-191,0,0
Sebastiano Luperto,DF,Empoli,25-190,0,1
Andreas Luthe,GK,Union Berlin,35-005,0,0
Lyanco,DF,Southampton,25-042,0,0
Charalambos Lykogiannis,DF,Cagliari,28-144,0,0
Yannis M'Bemba,"DF,FW",Nantes,20-257,0,0
Alexis Mac Allister,"MF,FW",Brighton,23-081,4,2
Deiver Machado,DF,Lens,28-194,0,0
Darwin Machís,"MF,FW",Granada,29-036,2,0
Yvann Macon,DF,Saint-Étienne,23-165,0,0
James Maddison,"MF,FW",Leicester City,25-112,7,3
Niki Mäenpää,GK,Venezia,37-051,0,0
Pablo Maffeo,DF,Mallorca,24-246,1,1
Louis Mafouta,FW,Metz,27-256,0,0
Giulio Maggiore,MF,Spezia,24-003,0,2
Matej Maglica,DF,Stuttgart,23-171,0,0
Francesco Magnanelli,MF,Sassuolo,37-123,0,0
Giangiacomo Magnani,DF,Hellas Verona,26-162,0,0
Hugo Magnetti,MF,Brest,23-289,0,0
Yohann Magnin,"MF,DF",Clermont Foot,24-267,1,0
Harry Maguire,DF,Manchester Utd,29-010,1,0
Riyad Mahrez,FW,Manchester City,31-022,10,4
Arne Maier,MF,Augsburg,23-066,1,3
Habib Maïga,"MF,FW",Metz,26-073,2,0
Mike Maignan,GK,Milan,26-255,0,1
Ainsley Maitland-Niles,MF,Arsenal,24-198,0,0
Josh Maja,FW,Bordeaux,23-078,0,0
Abdul Majeed Waris,"MF,FW",Strasbourg,30-177,2,0
Lovro Majer,MF,Rennes,24-057,3,7
Jean-Victor Makengo,MF,Udinese,23-276,1,2
Béni Makouana,"FW,MF",Montpellier,19-168,0,0
Nemanja Maksimović,MF,Getafe,27-048,1,2
Nikola Maksimović,DF,Genoa,30-110,0,0
Kévin Malcuit,DF,Napoli,30-227,0,1
Daniel Maldini,MF,Milan,20-155,1,0
Youssef Maleh,MF,Fiorentina,23-205,2,1
Donyell Malen,FW,Dortmund,23-055,4,3
Ruslan Malinovskyi,"FW,MF",Atalanta,28-315,6,1
Hugo Mallo,DF,Celta Vigo,30-266,1,1
Lennard Maloney,DF,Dortmund,22-158,0,0
Mickael Malsa,MF,Levante,26-154,0,2
Giorgi Mamardashvili,GK,Valencia,21-167,0,0
Rey Manaj,FW,Spezia,25-019,4,0
Hianga Mananga Mbock,MF,Brest,22-077,0,0
Vincent Manceau,DF,Angers,32-248,0,0
Gianluca Mancini,DF,Roma,25-332,0,0
Leonardo Mancuso,FW,Empoli,29-293,1,0
Steve Mandanda,GK,Marseille,36-352,0,0
Reinildo Mandava,DF,Lille,28-053,1,0
Aïssa Mandi,DF,Villarreal,30-144,1,0
Rolando Mandragora,MF,Torino,24-259,0,1
Sadio Mané,FW,Liverpool,29-339,12,1
Eliaquim Mangala,DF,Saint-Étienne,31-030,0,0
Orel Mangala,MF,Stuttgart,23-362,1,3
Thomas Mangani,MF,Angers,34-320,6,2
Ricardo Mangas,DF,Bordeaux,23-361,1,1
Kostas Manolas,DF,Napoli,30-274,0,0
Javier Manquillo,DF,Newcastle Utd,27-314,1,2
Myziane Maolida,"MF,FW",Nice,23-029,1,1
Sekou Mara,FW,Bordeaux,19-228,1,0
Maranhão,"FW,MF",Valencia,25-146,1,2
Nikola Maraš,DF,Rayo Vallecano,26-086,0,0
Fernando Marçal,DF,Wolves,33-024,0,0
Marcelo,DF,Real Madrid,33-307,0,1
Solly March,"DF,FW",Brighton,27-238,0,1
Riccardo Marchizza,DF,Empoli,23-354,0,0
Gian Marco Ferrari,DF,Sassuolo,30-028,1,0
Iván Marcone,MF,Elche,31-285,0,0
Óscar de Marcos,DF,Athletic Club,32-335,1,2
José Mari,MF,Cádiz,34-099,0,0
Pablo Marí,DF,Arsenal,28-196,0,0
José María Giménez,DF,Atlético Madrid,27-054,0,1
Mariano,FW,Real Madrid,28-226,0,1
Răzvan Marin,MF,Cagliari,25-296,0,3
Guillermo Maripán,DF,Monaco,27-313,0,0
Omar Marmoush,FW,Wolfsburg,23-036,2,3
Marquinhos,DF,Paris S-G,27-305,3,0
Roger Martí,FW,Levante,31-071,4,2
Anthony Martial,FW,Manchester Utd,26-100,1,1
Martín,MF,Cádiz,23-014,0,0
Aarón Martín,DF,Mainz 05,24-327,1,1
Ander Martin,"FW,MF",Real Sociedad,21-119,0,0
Andrés Martín,"FW,MF",Rayo Vallecano,22-247,0,0
Carlos Martín,DF,Atlético Madrid,19-327,0,0
Iván Martín,MF,Alavés,23-029,0,0
Jonas Martin,MF,Rennes,31-340,1,1
Martinelli,"FW,MF",Arsenal,20-270,5,3
Lucas Martínez Quarta,DF,Fiorentina,25-309,1,0
