1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,32_Matches
Roberto Torres,es ESP,"MF,FW",Osasuna,33-008,1989,20,5,642,7.1,2,2,0,2,2,3,0,0.28,0.28,0.56,0.00,0.28,1.9,0.4,2.0,2.4,0.27,0.28,0.55,0.06,0.34,Matches
Lucas Torró,es ESP,MF,Osasuna,27-239,1994,25,25,2078,23.1,1,0,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,1.1,1.1,0.2,1.3,0.05,0.01,0.06,0.05,0.06,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Adama Traoré,es ESP,FW,Barcelona,26-049,1996,5,3,257,2.9,0,2,0,0,0,0,0,0.00,0.70,0.70,0.00,0.70,0.3,0.3,0.6,0.9,0.09,0.21,0.30,0.09,0.30,Matches
Óscar Trejo,ar ARG,MF,Rayo Vallecano,33-323,1988,25,20,1641,18.2,3,9,0,3,3,9,0,0.16,0.49,0.66,0.00,0.49,3.2,1.0,4.0,4.9,0.18,0.22,0.40,0.05,0.27,Matches
Manu Trigueros,es ESP,"MF,FW",Villarreal,30-149,1991,26,20,1609,17.9,5,4,5,0,0,2,0,0.28,0.22,0.50,0.28,0.50,3.4,3.4,2.5,5.8,0.19,0.14,0.33,0.19,0.33,Matches
Kieran Trippier,eng ENG,DF,Atlético Madrid,31-177,1990,15,12,976,10.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.01,0.02,0.03,0.01,0.03,Matches
Beñat Turrientes,es ESP,MF,Real Sociedad,20-043,2002,8,1,207,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.19,0.08,0.27,0.19,0.27,Matches
Samuel Umtiti,fr FRA,DF,Barcelona,28-121,1993,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Enes Ünal,tr TUR,FW,Getafe,24-309,1997,27,23,1913,21.3,13,0,11,2,3,6,0,0.61,0.00,0.61,0.52,0.52,7.1,4.8,0.9,5.8,0.33,0.04,0.38,0.23,0.27,Matches
Myrto Uzuni,al ALB,"MF,FW",Granada,26-288,1995,6,5,414,4.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.21,0.01,0.22,0.21,0.22,Matches
Álvaro Vadillo,es ESP,"MF,DF",Espanyol,27-184,1994,3,0,7,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Óscar Valentín,es ESP,MF,Rayo Vallecano,27-207,1994,24,19,1703,18.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.4,1.5,0.05,0.02,0.08,0.05,0.08,Matches
Germán Valera,es ESP,"FW,MF",Real Sociedad,19-364,2002,3,0,51,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches
Martin Valjent,sk SVK,DF,Mallorca,26-094,1995,27,27,2371,26.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.8,0.01,0.02,0.03,0.01,0.03,Matches
Jesús Vallejo,es ESP,DF,Real Madrid,25-069,1997,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Manu Vallejo,es ESP,"FW,MF",Valencia,25-029,1997,9,0,98,1.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.20,0.09,0.29,0.20,0.29,Matches
Manu Vallejo,es ESP,"FW,MF",Alavés,25-029,1997,5,0,85,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.22,0.00,0.22,0.22,0.22,Matches
Federico Valverde,uy URU,MF,Real Madrid,23-236,1998,22,13,1244,13.8,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.5,0.5,1.7,2.2,0.04,0.12,0.16,0.04,0.16,Matches
José Luis García Vayá,es ESP,MF,Levante,23-216,1998,19,15,1222,13.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.0,1.1,0.00,0.07,0.08,0.00,0.08,Matches
Jesus Vazquez,es ESP,"DF,MF",Valencia,19-072,2003,7,3,341,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.03,0.03,0.07,0.03,0.07,Matches
Kevin Vázquez,es ESP,DF,Celta Vigo,28-357,1993,8,7,672,7.5,0,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.0,0.0,0.0,0.1,0.00,0.00,0.01,0.00,0.01,Matches
Lucas Vázquez,es ESP,DF,Real Madrid,30-257,1991,20,12,1125,12.5,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.9,0.9,1.3,2.3,0.07,0.11,0.18,0.07,0.18,Matches
Gabriel Veiga,es ESP,"MF,FW",Celta Vigo,19-292,2002,2,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Unai Vencedor Paris,es ESP,MF,Athletic Club,21-120,2000,24,22,1768,19.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.4,1.2,0.04,0.02,0.06,0.04,0.06,Matches
Gonzalo Verdú,es ESP,DF,Elche,33-145,1988,15,13,1114,12.4,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
Mikel Vesga,es ESP,MF,Athletic Club,28-298,1993,23,9,821,9.1,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.7,0.7,0.8,1.4,0.07,0.09,0.16,0.07,0.16,Matches
Rúben Vezo,pt POR,DF,Levante,27-324,1994,22,20,1784,19.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.03,0.01,0.04,0.03,0.04,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Aleix Vidal,es ESP,"DF,MF",Espanyol,32-206,1989,22,16,1397,15.5,2,0,2,0,0,5,0,0.13,0.00,0.13,0.13,0.13,0.7,0.7,1.2,1.9,0.05,0.08,0.12,0.05,0.12,Matches
Nacho Vidal,es ESP,DF,Osasuna,27-050,1995,26,25,2206,24.5,0,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,1.0,1.0,1.8,2.7,0.04,0.07,0.11,0.04,0.11,Matches
Dídac Vilà,es ESP,DF,Espanyol,32-279,1989,5,1,166,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches
Tonny Vilhena,nl NED,"FW,MF",Espanyol,27-071,1995,7,6,378,4.2,1,1,1,0,0,2,0,0.24,0.24,0.48,0.24,0.48,0.7,0.7,0.5,1.2,0.16,0.13,0.29,0.16,0.29,Matches
Asier Villalibre,es ESP,FW,Athletic Club,24-166,1997,12,2,330,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.28,0.01,0.28,0.28,0.28,Matches
Gonzalo Villar,es ESP,MF,Getafe,23-357,1998,3,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Vitolo,es ESP,"MF,FW",Getafe,32-133,1989,7,1,221,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.02,0.06,0.07,0.02,0.07,Matches
Daniel Vivian,es ESP,DF,Athletic Club,22-243,1999,16,15,1353,15.0,2,1,2,0,0,0,0,0.13,0.07,0.20,0.13,0.20,1.0,1.0,0.2,1.3,0.07,0.01,0.08,0.07,0.08,Matches
Šime Vrsaljko,hr CRO,DF,Atlético Madrid,30-064,1992,14,6,588,6.5,1,1,1,0,0,2,0,0.15,0.15,0.31,0.15,0.31,0.8,0.8,0.4,1.3,0.13,0.07,0.20,0.13,0.20,Matches
Nikola Vukčević,me MNE,MF,Levante,30-092,1991,6,0,118,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Daniel Wass,dk DEN,MF,Valencia,32-288,1989,19,19,1582,17.6,1,1,1,0,0,6,0,0.06,0.06,0.11,0.06,0.11,1.8,1.8,0.6,2.4,0.10,0.03,0.14,0.10,0.14,Matches
Daniel Wass,dk DEN,DF,Atlético Madrid,32-288,1989,1,0,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Iñaki Williams,es ESP,FW,Athletic Club,27-273,1994,28,23,2026,22.5,7,2,7,0,0,2,0,0.31,0.09,0.40,0.31,0.40,9.4,9.4,4.2,13.6,0.42,0.19,0.61,0.42,0.61,Matches
Nico Williams,es ESP,MF,Athletic Club,19-246,2002,25,6,926,10.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,2.4,2.4,1.2,3.6,0.24,0.12,0.35,0.24,0.35,Matches
Okay Yokuşlu,tr TUR,"MF,DF",Getafe,28-006,1994,2,1,96,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Okay Yokuşlu,tr TUR,"DF,MF",Celta Vigo,28-006,1994,8,1,140,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.15,0.00,0.15,0.15,0.15,Matches
Joseba Zaldúa,es ESP,DF,Real Sociedad,29-264,1992,18,10,861,9.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.04,0.04,0.00,0.04,Matches
Oier Zarraga,es ESP,MF,Athletic Club,23-070,1999,22,8,961,10.7,1,0,0,1,1,5,0,0.09,0.00,0.09,0.00,0.00,1.3,0.5,0.2,0.7,0.12,0.02,0.14,0.05,0.07,Matches
Luca Zidane,fr FRA,"GK,MF",Rayo Vallecano,23-306,1998,7,7,555,6.2,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Igor Zubeldia,es ESP,DF,Real Sociedad,24-350,1997,18,11,980,10.9,0,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.6,0.6,0.0,0.6,0.06,0.00,0.06,0.06,0.06,Matches
Martín Zubimendi,es ESP,MF,Real Sociedad,23-041,1999,26,16,1692,18.8,1,1,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,1.0,1.0,0.4,1.4,0.05,0.02,0.08,0.05,0.08,Matches
