1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,32_Matches
Ángel Montoro,es ESP,MF,Granada,33-263,1988,21,12,1233,13.7,1,1,1,0,0,5,0,0.07,0.07,0.15,0.07,0.15,0.9,0.9,1.5,2.4,0.07,0.11,0.18,0.07,0.18,Matches
Martín Montoya,es ESP,DF,Betis,30-335,1991,6,6,518,5.8,0,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,1.1,1.5,0.06,0.19,0.25,0.06,0.25,Matches
Jon Morcillo,es ESP,MF,Athletic Club,23-181,1998,7,0,54,0.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.63,0.00,0.63,0.63,0.63,Matches
Alberto Moreno,es ESP,"MF,DF",Villarreal,29-253,1992,24,13,1223,13.6,3,2,3,0,0,3,0,0.22,0.15,0.37,0.22,0.37,3.0,3.0,2.0,5.0,0.22,0.15,0.37,0.22,0.37,Matches
Álex Moreno,es ESP,DF,Betis,28-280,1993,21,20,1694,18.8,4,2,4,0,0,2,1,0.21,0.11,0.32,0.21,0.32,2.2,2.2,1.7,3.9,0.12,0.09,0.21,0.12,0.21,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Gerard Moreno,es ESP,FW,Villarreal,29-342,1992,13,12,982,10.9,8,2,7,1,2,2,0,0.73,0.18,0.92,0.64,0.82,6.2,4.7,3.6,8.2,0.57,0.33,0.89,0.43,0.75,Matches
Tete Morente,es ESP,MF,Elche,25-101,1996,22,14,1161,12.9,2,3,2,0,0,3,0,0.16,0.23,0.39,0.16,0.39,2.4,2.4,2.1,4.4,0.18,0.16,0.34,0.18,0.34,Matches
Ilaix Moriba,gn GUI,MF,Valencia,19-055,2003,5,3,272,3.0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.07,0.01,0.09,0.07,0.09,Matches
Manu Morlanes,es ESP,MF,Espanyol,23-062,1999,22,10,995,11.1,2,0,2,0,0,4,1,0.18,0.00,0.18,0.18,0.18,0.7,0.7,0.2,1.0,0.07,0.02,0.09,0.07,0.09,Matches
Loren Morón,es ESP,"FW,MF",Espanyol,28-075,1993,18,3,473,5.3,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,0.8,0.8,0.4,1.2,0.15,0.07,0.22,0.15,0.22,Matches
Loren Morón,es ESP,FW,Betis,28-075,1993,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Cristhian Mosquera,co COL,DF,Valencia,17-261,2004,4,2,114,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.00,0.09,0.09,0.09,Matches
Toni Moya,es ESP,MF,Alavés,23-360,1998,24,16,1295,14.4,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,1.2,1.2,1.8,2.9,0.08,0.12,0.20,0.08,0.20,Matches
Iker Muniain,es ESP,MF,Athletic Club,29-086,1992,25,24,1920,21.3,3,7,2,1,2,2,0,0.14,0.33,0.47,0.09,0.42,5.3,3.7,6.0,9.7,0.25,0.28,0.53,0.18,0.46,Matches
Aihen Muñoz,es ESP,DF,Real Sociedad,24-211,1997,18,15,1322,14.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.1,0.5,0.6,0.01,0.03,0.05,0.01,0.04,Matches
Jeison Murillo,co COL,DF,Celta Vigo,29-292,1992,14,11,952,10.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.5,0.04,0.00,0.04,0.04,0.04,Matches
Vedat Muriqi,xk KVX,FW,Mallorca,27-325,1994,7,7,628,7.0,2,1,1,1,1,3,0,0.29,0.14,0.43,0.14,0.29,2.8,2.0,0.6,2.6,0.40,0.09,0.49,0.29,0.38,Matches
Yunus Musah,us USA,"MF,FW",Valencia,19-106,2002,21,9,957,10.6,1,0,1,0,0,5,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,1.1,1.4,0.03,0.10,0.13,0.03,0.13,Matches
Shkodran Mustafi,de GER,DF,Levante,29-332,1992,10,8,643,7.1,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
Nacho,es ESP,DF,Real Madrid,32-056,1990,19,11,1031,11.5,2,0,2,0,0,3,0,0.17,0.00,0.17,0.17,0.17,0.9,0.9,0.2,1.1,0.08,0.02,0.10,0.08,0.10,Matches
Roberto Navarro,es ESP,"MF,FW",Real Sociedad,19-337,2002,6,3,199,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.32,0.02,0.35,0.32,0.35,Matches
Ximo Navarro,es ESP,DF,Alavés,32-051,1990,10,9,716,8.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.03,0.03,0.06,0.03,0.06,Matches
Jesús Navas,es ESP,DF,Sevilla,36-114,1985,15,11,1086,12.1,0,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,3.5,3.6,0.01,0.29,0.30,0.01,0.30,Matches
Loum Ndiaye,sn SEN,MF,Alavés,25-075,1996,23,18,1619,18.0,2,0,2,0,0,5,0,0.11,0.00,0.11,0.11,0.11,2.0,2.0,0.1,2.1,0.11,0.01,0.12,0.11,0.12,Matches
Álvaro Negredo,es ESP,FW,Cádiz,36-207,1985,25,17,1526,17.0,6,1,4,2,2,2,0,0.35,0.06,0.41,0.24,0.29,4.7,3.2,1.1,4.4,0.28,0.07,0.35,0.19,0.26,Matches
Neto,br BRA,GK,Barcelona,32-239,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Neva,es ESP,DF,Granada,25-276,1996,25,23,2052,22.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,1.3,2.2,0.04,0.06,0.10,0.04,0.10,Matches
Saúl Ñíguez,es ESP,"DF,MF",Atlético Madrid,27-114,1994,3,2,201,2.2,0,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.4,0.4,0.1,0.5,0.16,0.05,0.21,0.16,0.21,Matches
Fernando Niño,es ESP,FW,Mallorca,21-142,2000,19,7,760,8.4,2,0,2,0,0,2,0,0.24,0.00,0.24,0.24,0.24,2.8,2.8,0.3,3.0,0.33,0.03,0.36,0.33,0.36,Matches
Peru Nolaskoain,es ESP,DF,Athletic Club,23-141,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Nolito,es ESP,MF,Celta Vigo,35-151,1986,25,12,1071,11.9,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,2.1,2.1,0.7,2.8,0.18,0.06,0.23,0.18,0.23,Matches
Randy Ntekja,fr FRA,"FW,MF",Rayo Vallecano,24-099,1997,23,10,980,10.9,3,0,3,0,0,1,0,0.28,0.00,0.28,0.28,0.28,2.3,2.3,1.7,3.9,0.21,0.15,0.36,0.21,0.36,Matches
Unai Núñez,es ESP,DF,Athletic Club,25-044,1997,8,6,532,5.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.13,0.01,0.15,0.13,0.15,Matches
Allan Nyom,cm CMR,DF,Getafe,33-309,1988,5,3,244,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,Matches
Jan Oblak,si SVN,GK,Atlético Madrid,29-067,1993,28,28,2520,28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Ocampos,ar ARG,"FW,DF",Sevilla,27-247,1994,21,17,1587,17.6,5,2,5,0,0,6,0,0.28,0.11,0.40,0.28,0.40,4.1,4.1,0.8,5.0,0.23,0.05,0.28,0.23,0.28,Matches
Lucas Olaza,uy URU,MF,Elche,27-237,1994,1,0,5,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.81,0.81,0.00,0.81,Matches
Brian Oliván,es ESP,DF,Mallorca,27-348,1994,19,16,1486,16.5,1,0,1,0,1,5,0,0.06,0.00,0.06,0.06,0.06,2.1,1.3,1.8,3.1,0.13,0.11,0.23,0.08,0.19,Matches
Mathías Olivera,uy URU,DF,Getafe,24-135,1997,23,23,1993,22.1,1,2,1,0,0,6,0,0.05,0.09,0.14,0.05,0.14,1.5,1.5,2.2,3.8,0.07,0.10,0.17,0.07,0.17,Matches
Javier Ontiveros,es ESP,"MF,FW",Osasuna,24-187,1997,3,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.00,0.13,0.13,0.13,Matches
Pedro Ortiz,es ESP,MF,Sevilla,21-208,2000,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,4.70,4.92,9.63,4.70,9.63,Matches
Milutin Osmajić,me MNE,"FW,MF",Cádiz,22-233,1999,10,2,257,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.09,0.00,0.09,0.09,0.09,Matches
Jesús Owono,gq EQG,GK,Alavés,21-014,2001,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,24-328,1997,22,19,1671,18.6,9,3,5,4,5,0,1,0.48,0.16,0.65,0.27,0.43,9.1,5.3,3.4,8.7,0.49,0.18,0.67,0.29,0.47,Matches
Fernando Pacheco,es ESP,GK,Alavés,29-301,1992,25,25,2243,24.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,Matches
Jon Pacheco,es ESP,DF,Real Sociedad,21-066,2001,9,4,374,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Gavi Paez,es ESP,"MF,FW",Barcelona,17-222,2004,23,20,1557,17.3,2,4,2,0,0,7,1,0.12,0.23,0.35,0.12,0.35,2.7,2.7,2.7,5.4,0.16,0.15,0.31,0.16,0.31,Matches
Helibelton Palacios,co COL,DF,Elche,28-279,1993,21,17,1549,17.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches
Isaac Palazón Camacho,es ESP,"FW,MF",Rayo Vallecano,27-078,1994,26,20,1702,18.9,2,1,2,0,0,5,0,0.11,0.05,0.16,0.11,0.16,2.4,2.4,1.4,3.8,0.13,0.07,0.20,0.13,0.20,Matches
